"","Player","Pos","Age","Tm","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Yr"
"1","Jay Arnette","PG","25","CIN","48","501","8.4","0.419","0","0.276","0","0","0","0","0","0","0","0","-0.3","0.4","0.1","0.01","0","0","0","0",1964
"2","Al Attles*","PG","27","SFW","70","1883","12.6","0.501","0","0.43","0","0","0","0","0","0","0","0","2.6","2.8","5.3","0.136","0","0","0","0",1964
"3","Dick Barnett","SG","27","LAL","78","2620","15.7","0.513","0","0.379","0","0","0","0","0","0","0","0","5.3","1.2","6.5","0.119","0","0","0","0",1964
"4","John Barnhill","SG","25","STL","74","1367","10.1","0.437","0","0.228","0","0","0","0","0","0","0","0","-0.2","1.2","1","0.034","0","0","0","0",1964
"5","Elgin Baylor*","SF","29","LAL","78","3164","21.1","0.487","0","0.33","0","0","0","0","0","0","0","0","4.7","2.5","7.2","0.109","0","0","0","0",1964
"6","Zelmo Beaty*","C","24","STL","59","1922","14","0.505","0","0.417","0","0","0","0","0","0","0","0","2.5","2.4","4.8","0.121","0","0","0","0",1964
"7","Walt Bellamy*","C","24","BAL","80","3394","23.3","0.555","0","0.521","0","0","0","0","0","0","0","0","11.4","2.9","14.4","0.203","0","0","0","0",1964
"8","Al Bianchi","PG","31","PHI","78","1437","8.9","0.418","0","0.206","0","0","0","0","0","0","0","0","-1.1","0.8","-0.4","-0.012","0","0","0","0",1964
"9","Bucky Bockhorn","SG","30","CIN","70","1670","9.3","0.451","0","0.215","0","0","0","0","0","0","0","0","0.3","1.2","1.5","0.042","0","0","0","0",1964
"10","Bob Boozer","SF","26","TOT","81","2379","14.4","0.479","0","0.343","0","0","0","0","0","0","0","0","2.1","0.7","2.8","0.056","0","0","0","0",1964
"11","Bill Bridges","PF","24","STL","80","1949","13.1","0.441","0","0.332","0","0","0","0","0","0","0","0","-0.2","2.8","2.6","0.064","0","0","0","0",1964
"12","Dave Budd","SF","25","NYK","73","1031","11.3","0.489","0","0.387","0","0","0","0","0","0","0","0","0.8","0.1","0.9","0.041","0","0","0","0",1964
"13","Donnie Butcher","PG","27","TOT","78","1971","10","0.454","0","0.505","0","0","0","0","0","0","0","0","0.5","0.7","1.2","0.03","0","0","0","0",1964
"14","Al Butler","PG","25","NYK","76","1379","13","0.471","0","0.304","0","0","0","0","0","0","0","0","1","0.1","1.1","0.038","0","0","0","0",1964
"15","Barney Cable","SF","28","BAL","71","1125","7.7","0.421","0","0.145","0","0","0","0","0","0","0","0","-0.4","0.8","0.3","0.014","0","0","0","0",1964
"16","Wilt Chamberlain*","C","27","SFW","80","3689","31.6","0.537","0","0.442","0","0","0","0","0","0","0","0","14.4","10.6","25","0.325","0","0","0","0",1964
"17","Len Chappell","PF","23","TOT","79","2505","16.7","0.495","0","0.34","0","0","0","0","0","0","0","0","3.4","0.2","3.6","0.069","0","0","0","0",1964
"18","Larry Comley","G","24","BAL","12","89","5.6","0.284","0","0.432","0","0","0","0","0","0","0","0","-0.4","0.1","-0.3","-0.167","0","0","0","0",1964
"19","Gene Conley","PF","33","NYK","46","551","8.8","0.441","0","0.344","0","0","0","0","0","0","0","0","-0.1","0","0","-0.003","0","0","0","0",1964
"20","Larry Costello","PG","32","PHI","45","1137","15.1","0.548","0","0.417","0","0","0","0","0","0","0","0","2.8","0.7","3.5","0.147","0","0","0","0",1964
"21","Dave DeBusschere*","SF","23","DET","15","304","13.9","0.425","0","0.323","0","0","0","0","0","0","0","0","-0.2","0.2","0","-0.003","0","0","0","0",1964
"22","Connie Dierking","C","27","PHI","76","1286","10.5","0.422","0","0.329","0","0","0","0","0","0","0","0","-0.9","1","0.1","0.004","0","0","0","0",1964
"23","Terry Dischinger","SF","23","BAL","80","2816","19.6","0.564","0","0.481","0","0","0","0","0","0","0","0","9.5","1.9","11.3","0.193","0","0","0","0",1964
"24","Bob Duffy","PG","23","TOT","48","662","10.5","0.45","0","0.284","0","0","0","0","0","0","0","0","0.1","0.2","0.3","0.025","0","0","0","0",1964
"25","Johnny Egan","PG","25","TOT","66","2326","12.7","0.498","0","0.321","0","0","0","0","0","0","0","0","2.7","0.4","3.2","0.065","0","0","0","0",1964
"26","Leroy Ellis","C","23","LAL","78","1459","12.1","0.467","0","0.359","0","0","0","0","0","0","0","0","0.6","1","1.6","0.053","0","0","0","0",1964
"27","Wayne Embry*","C","26","CIN","80","2915","15.1","0.495","0","0.344","0","0","0","0","0","0","0","0","3.5","2.8","6.3","0.104","0","0","0","0",1964
"28","Mike Farmer","SF","27","STL","76","1361","9.4","0.447","0","0.189","0","0","0","0","0","0","0","0","0","1.3","1.3","0.046","0","0","0","0",1964
"29","Bob Ferry","C","26","DET","74","1522","16.2","0.493","0","0.416","0","0","0","0","0","0","0","0","2","0.7","2.7","0.086","0","0","0","0",1964
"30","Dave Gambee","SF","26","PHI","41","927","13.5","0.489","0","0.489","0","0","0","0","0","0","0","0","1","0.6","1.6","0.084","0","0","0","0",1964
"31","Mel Gibson","G","23","LAL","9","53","2.5","0.311","0","0.1","0","0","0","0","0","0","0","0","-0.2","0","-0.1","-0.119","0","0","0","0",1964
"32","Tom Gola*","SG","31","NYK","74","2156","11.6","0.482","0","0.352","0","0","0","0","0","0","0","0","1.6","0.2","1.7","0.039","0","0","0","0",1964
"33","Johnny Green","PF","30","NYK","80","2134","18.1","0.484","0","0.382","0","0","0","0","0","0","0","0","2.3","0.2","2.6","0.057","0","0","0","0",1964
"34","Si Green","PG","30","BAL","75","2064","11.6","0.472","0","0.42","0","0","0","0","0","0","0","0","1.3","1.3","2.6","0.061","0","0","0","0",1964
"35","Jerry Greenspan","SG","22","PHI","20","280","8.7","0.438","0","0.556","0","0","0","0","0","0","0","0","-0.1","0.2","0.1","0.02","0","0","0","0",1964
"36","Hal Greer*","SG","27","PHI","80","3157","17.7","0.506","0","0.326","0","0","0","0","0","0","0","0","6.1","2","8.1","0.124","0","0","0","0",1964
"37","Richie Guerin*","SG","31","TOT","80","2366","14.7","0.508","0","0.501","0","0","0","0","0","0","0","0","3.9","2.4","6.3","0.127","0","0","0","0",1964
"38","Cliff Hagan*","SF","32","STL","77","2279","16.9","0.496","0","0.259","0","0","0","0","0","0","0","0","3.8","2.1","6","0.126","0","0","0","0",1964
"39","Reggie Harding","C","21","DET","39","1158","12.4","0.426","0","0.213","0","0","0","0","0","0","0","0","-0.6","0.6","0","0","0","0","0","0",1964
"40","Charlie Hardnett","PF","25","BAL","66","617","15.8","0.473","0","0.481","0","0","0","0","0","0","0","0","0.4","0.5","1","0.077","0","0","0","0",1964
"41","Jerry Harkness","PG","23","NYK","5","59","11.9","0.433","0","0.267","0","0","0","0","0","0","0","0","0","0","0","-0.017","0","0","0","0",1964
"42","John Havlicek*","SF","23","BOS","80","2587","16.9","0.463","0","0.275","0","0","0","0","0","0","0","0","1.6","6.1","7.7","0.142","0","0","0","0",1964
"43","Tom Hawkins","SF","27","CIN","73","1770","10.7","0.472","0","0.324","0","0","0","0","0","0","0","0","0.8","1.4","2.3","0.062","0","0","0","0",1964
"44","Tom Heinsohn*","PF","29","BOS","76","2040","17","0.458","0","0.28","0","0","0","0","0","0","0","0","0.8","5.4","6.2","0.147","0","0","0","0",1964
"45","Art Heyman","SG","22","NYK","75","2236","14.7","0.485","0","0.421","0","0","0","0","0","0","0","0","2.6","0.2","2.7","0.059","0","0","0","0",1964
"46","Wayne Hightower","PF","24","SFW","79","2536","12","0.448","0","0.322","0","0","0","0","0","0","0","0","0","4","4","0.077","0","0","0","0",1964
"47","Gary Hill","SG","22","SFW","67","1015","7.8","0.41","0","0.201","0","0","0","0","0","0","0","0","-0.9","1.4","0.6","0.027","0","0","0","0",1964
"48","Paul Hogue","C","23","TOT","15","147","3.6","0.393","0","0.233","0","0","0","0","0","0","0","0","-0.1","0","-0.1","-0.018","0","0","0","0",1964
"49","Tom Hoover","C","23","NYK","59","988","9.7","0.467","0","0.534","0","0","0","0","0","0","0","0","0.3","0.1","0.4","0.02","0","0","0","0",1964
"50","Bailey Howell*","SF","27","DET","77","2700","21.1","0.547","0","0.459","0","0","0","0","0","0","0","0","8.5","1.4","9.8","0.175","0","0","0","0",1964
"51","Darrall Imhoff","C","25","DET","58","871","10.9","0.46","0","0.454","0","0","0","0","0","0","0","0","0.2","0.5","0.7","0.038","0","0","0","0",1964
"52","Gus Johnson*","PF","25","BAL","78","2847","16.3","0.46","0","0.24","0","0","0","0","0","0","0","0","1","2.5","3.5","0.06","0","0","0","0",1964
"53","K.C. Jones*","PG","31","BOS","80","2424","10.4","0.411","0","0.233","0","0","0","0","0","0","0","0","-1.2","7","5.8","0.114","0","0","0","0",1964
"54","Sam Jones*","SG","30","BOS","76","2381","17.6","0.491","0","0.234","0","0","0","0","0","0","0","0","3.7","5.2","8.9","0.18","0","0","0","0",1964
"55","Willie Jones","PG","27","DET","77","1539","10.9","0.425","0","0.207","0","0","0","0","0","0","0","0","-0.8","0.7","-0.2","-0.005","0","0","0","0",1964
"56","Red Kerr","C","31","PHI","80","2938","17.1","0.476","0","0.286","0","0","0","0","0","0","0","0","2.3","2.6","4.9","0.08","0","0","0","0",1964
"57","Jim King","PG","22","LAL","60","762","11.4","0.483","0","0.51","0","0","0","0","0","0","0","0","0.6","0.5","1.1","0.069","0","0","0","0",1964
"58","Don Kojis","SF","25","BAL","78","1148","12.6","0.445","0","0.302","0","0","0","0","0","0","0","0","-0.1","0.8","0.7","0.031","0","0","0","0",1964
"59","Jim Krebs","C","28","LAL","68","975","9.8","0.422","0","0.238","0","0","0","0","0","0","0","0","-0.6","0.7","0.1","0.004","0","0","0","0",1964
"60","Rudy LaRusso","PF","26","LAL","79","2746","14.1","0.511","0","0.512","0","0","0","0","0","0","0","0","3.6","1.9","5.5","0.096","0","0","0","0",1964
"61","George Lee","SF","27","SFW","54","522","8.9","0.437","0","0.42","0","0","0","0","0","0","0","0","-0.1","0.7","0.6","0.057","0","0","0","0",1964
