"","Player","Yr","allstar"
"1","Kareem Abdul-Jabbar","1970",1
"2","Kareem Abdul-Jabbar","1971",1
"3","Kareem Abdul-Jabbar","1972",1
"4","Kareem Abdul-Jabbar","1973",1
"5","Kareem Abdul-Jabbar","1974",1
"6","Kareem Abdul-Jabbar","1975",1
"7","Kareem Abdul-Jabbar","1976",1
"8","Kareem Abdul-Jabbar","1977",1
"9","Kareem Abdul-Jabbar","1979",1
"10","Kareem Abdul-Jabbar","1980",1
"11","Kareem Abdul-Jabbar","1981",1
"12","Kareem Abdul-Jabbar","1982",1
"13","Kareem Abdul-Jabbar","1983",1
"14","Kareem Abdul-Jabbar","1984",1
"15","Kareem Abdul-Jabbar","1985",1
"16","Kareem Abdul-Jabbar","1986",1
"17","Kareem Abdul-Jabbar","1987",1
"18","Kareem Abdul-Jabbar","1988",1
"19","Kareem Abdul-Jabbar","1989",1
"20","Kobe Bryant","1998",1
"21","Kobe Bryant","2000",1
"22","Kobe Bryant","2001",1
"23","Kobe Bryant","2002",1
"24","Kobe Bryant","2003",1
"25","Kobe Bryant","2004",1
"26","Kobe Bryant","2005",1
"27","Kobe Bryant","2006",1
"28","Kobe Bryant","2007",1
"29","Kobe Bryant","2008",1
"30","Kobe Bryant","2009",1
"31","Kobe Bryant","2010",1
"32","Kobe Bryant","2011",1
"33","Kobe Bryant","2012",1
"34","Kobe Bryant","2013",1
"35","Kobe Bryant","2014",1
"36","Kobe Bryant","2015",1
"37","Kobe Bryant","2016",1
"38","LeBron James","2005",1
"39","LeBron James","2006",1
"40","LeBron James","2007",1
"41","LeBron James","2008",1
"42","LeBron James","2009",1
"43","LeBron James","2010",1
"44","LeBron James","2011",1
"45","LeBron James","2012",1
"46","LeBron James","2013",1
"47","LeBron James","2014",1
"48","LeBron James","2015",1
"49","LeBron James","2016",1
"50","LeBron James","2017",1
"51","LeBron James","2018",1
"52","LeBron James","2019",1
"53","LeBron James","2020",1
"54","Tim Duncan","1998",1
"55","Tim Duncan","2000",1
"56","Tim Duncan","2001",1
"57","Tim Duncan","2002",1
"58","Tim Duncan","2003",1
"59","Tim Duncan","2004",1
"60","Tim Duncan","2005",1
"61","Tim Duncan","2006",1
"62","Tim Duncan","2007",1
"63","Tim Duncan","2008",1
"64","Tim Duncan","2009",1
"65","Tim Duncan","2010",1
"66","Tim Duncan","2011",1
"67","Tim Duncan","2013",1
"68","Tim Duncan","2015",1
"69","Kevin Garnett","1997",1
"70","Kevin Garnett","1998",1
"71","Kevin Garnett","2000",1
"72","Kevin Garnett","2001",1
"73","Kevin Garnett","2002",1
"74","Kevin Garnett","2003",1
"75","Kevin Garnett","2004",1
"76","Kevin Garnett","2005",1
"77","Kevin Garnett","2006",1
"78","Kevin Garnett","2007",1
"79","Kevin Garnett","2008",1
"80","Kevin Garnett","2009",1
"81","Kevin Garnett","2010",1
"82","Kevin Garnett","2011",1
"83","Kevin Garnett","2013",1
"84","Shaquille O'Neal","1993",1
"85","Shaquille O'Neal","1994",1
"86","Shaquille O'Neal","1995",1
"87","Shaquille O'Neal","1996",1
"88","Shaquille O'Neal","1997",1
"89","Shaquille O'Neal","1998",1
"90","Shaquille O'Neal","2000",1
"91","Shaquille O'Neal","2001",1
"92","Shaquille O'Neal","2002",1
"93","Shaquille O'Neal","2003",1
"94","Shaquille O'Neal","2004",1
"95","Shaquille O'Neal","2005",1
"96","Shaquille O'Neal","2006",1
"97","Shaquille O'Neal","2007",1
"98","Shaquille O'Neal","2009",1
"99","Michael Jordan","1985",1
"100","Michael Jordan","1986",1
"101","Michael Jordan","1987",1
"102","Michael Jordan","1988",1
"103","Michael Jordan","1989",1
"104","Michael Jordan","1990",1
"105","Michael Jordan","1991",1
"106","Michael Jordan","1992",1
"107","Michael Jordan","1993",1
"108","Michael Jordan","1996",1
"109","Michael Jordan","1997",1
"110","Michael Jordan","1998",1
"111","Michael Jordan","2002",1
"112","Michael Jordan","2003",1
"113","Karl Malone","1988",1
"114","Karl Malone","1989",1
"115","Karl Malone","1990",1
"116","Karl Malone","1991",1
"117","Karl Malone","1992",1
"118","Karl Malone","1993",1
"119","Karl Malone","1994",1
"120","Karl Malone","1995",1
"121","Karl Malone","1996",1
"122","Karl Malone","1997",1
"123","Karl Malone","1998",1
"124","Karl Malone","2000",1
"125","Karl Malone","2001",1
"126","Karl Malone","2002",1
"127","Dirk Nowitzki","2002",1
"128","Dirk Nowitzki","2003",1
"129","Dirk Nowitzki","2004",1
"130","Dirk Nowitzki","2005",1
"131","Dirk Nowitzki","2006",1
"132","Dirk Nowitzki","2007",1
"133","Dirk Nowitzki","2008",1
"134","Dirk Nowitzki","2009",1
"135","Dirk Nowitzki","2010",1
"136","Dirk Nowitzki","2011",1
"137","Dirk Nowitzki","2012",1
"138","Dirk Nowitzki","2014",1
"139","Dirk Nowitzki","2015",1
"140","Dirk Nowitzki","2019",1
"141","Jerry West","1961",1
"142","Jerry West","1962",1
"143","Jerry West","1963",1
"144","Jerry West","1964",1
"145","Jerry West","1965",1
"146","Jerry West","1966",1
"147","Jerry West","1967",1
"148","Jerry West","1968",1
"149","Jerry West","1969",1
"150","Jerry West","1970",1
"151","Jerry West","1971",1
"152","Jerry West","1972",1
"153","Jerry West","1973",1
"154","Jerry West","1974",1
"155","Wilt Chamberlain","1960",1
"156","Wilt Chamberlain","1961",1
"157","Wilt Chamberlain","1962",1
"158","Wilt Chamberlain","1963",1
"159","Wilt Chamberlain","1964",1
"160","Wilt Chamberlain","1965",1
"161","Wilt Chamberlain","1966",1
"162","Wilt Chamberlain","1967",1
"163","Wilt Chamberlain","1968",1
"164","Wilt Chamberlain","1969",1
"165","Wilt Chamberlain","1971",1
"166","Wilt Chamberlain","1972",1
"167","Wilt Chamberlain","1973",1
"168","Bob Cousy","1951",1
"169","Bob Cousy","1952",1
"170","Bob Cousy","1953",1
"171","Bob Cousy","1954",1
"172","Bob Cousy","1955",1
"173","Bob Cousy","1956",1
"174","Bob Cousy","1957",1
"175","Bob Cousy","1958",1
"176","Bob Cousy","1959",1
"177","Bob Cousy","1960",1
"178","Bob Cousy","1961",1
"179","Bob Cousy","1962",1
"180","Bob Cousy","1963",1
"181","John Havlicek","1966",1
"182","John Havlicek","1967",1
"183","John Havlicek","1968",1
"184","John Havlicek","1969",1
"185","John Havlicek","1970",1
"186","John Havlicek","1971",1
"187","John Havlicek","1972",1
"188","John Havlicek","1973",1
"189","John Havlicek","1974",1
"190","John Havlicek","1975",1
"191","John Havlicek","1976",1
"192","John Havlicek","1977",1
"193","John Havlicek","1978",1
"194","Dwyane Wade","2005",1
"195","Dwyane Wade","2006",1
"196","Dwyane Wade","2007",1
"197","Dwyane Wade","2008",1
"198","Dwyane Wade","2009",1
"199","Dwyane Wade","2010",1
"200","Dwyane Wade","2011",1
"201","Dwyane Wade","2012",1
"202","Dwyane Wade","2013",1
"203","Dwyane Wade","2014",1
"204","Dwyane Wade","2015",1
"205","Dwyane Wade","2016",1
"206","Dwyane Wade","2019",1
"207","Larry Bird","1980",1
"208","Larry Bird","1981",1
"209","Larry Bird","1982",1
"210","Larry Bird","1983",1
"211","Larry Bird","1984",1
"212","Larry Bird","1985",1
"213","Larry Bird","1986",1
"214","Larry Bird","1987",1
"215","Larry Bird","1988",1
"216","Larry Bird","1990",1
"217","Larry Bird","1991",1
"218","Larry Bird","1992",1
"219","Elvin Hayes","1969",1
"220","Elvin Hayes","1970",1
"221","Elvin Hayes","1971",1
"222","Elvin Hayes","1972",1
"223","Elvin Hayes","1973",1
"224","Elvin Hayes","1974",1
"225","Elvin Hayes","1975",1
"226","Elvin Hayes","1976",1
"227","Elvin Hayes","1977",1
"228","Elvin Hayes","1978",1
"229","Elvin Hayes","1979",1
"230","Elvin Hayes","1980",1
"231","Magic Johnson","1980",1
"232","Magic Johnson","1982",1
"233","Magic Johnson","1983",1
"234","Magic Johnson","1984",1
"235","Magic Johnson","1985",1
"236","Magic Johnson","1986",1
"237","Magic Johnson","1987",1
"238","Magic Johnson","1988",1
"239","Magic Johnson","1989",1
"240","Magic Johnson","1990",1
"241","Magic Johnson","1991",1
"242","Magic Johnson","1992",1
"243","Moses Malone","1978",1
"244","Moses Malone","1979",1
"245","Moses Malone","1980",1
"246","Moses Malone","1981",1
"247","Moses Malone","1982",1
"248","Moses Malone","1983",1
"249","Moses Malone","1984",1
"250","Moses Malone","1985",1
"251","Moses Malone","1986",1
"252","Moses Malone","1987",1
"253","Moses Malone","1988",1
"254","Moses Malone","1989",1
"255","Hakeem Olajuwon","1985",1
"256","Hakeem Olajuwon","1986",1
"257","Hakeem Olajuwon","1987",1
"258","Hakeem Olajuwon","1988",1
"259","Hakeem Olajuwon","1989",1
"260","Hakeem Olajuwon","1990",1
"261","Hakeem Olajuwon","1992",1
"262","Hakeem Olajuwon","1993",1
"263","Hakeem Olajuwon","1994",1
"264","Hakeem Olajuwon","1995",1
"265","Hakeem Olajuwon","1996",1
"266","Hakeem Olajuwon","1997",1
"267","Oscar Robertson","1961",1
"268","Oscar Robertson","1962",1
"269","Oscar Robertson","1963",1
"270","Oscar Robertson","1964",1
"271","Oscar Robertson","1965",1
"272","Oscar Robertson","1966",1
"273","Oscar Robertson","1967",1
"274","Oscar Robertson","1968",1
"275","Oscar Robertson","1969",1
"276","Oscar Robertson","1970",1
"277","Oscar Robertson","1971",1
"278","Oscar Robertson","1972",1
"279","Bill Russell","1958",1
"280","Bill Russell","1959",1
"281","Bill Russell","1960",1
"282","Bill Russell","1961",1
"283","Bill Russell","1962",1
"284","Bill Russell","1963",1
"285","Bill Russell","1964",1
"286","Bill Russell","1965",1
"287","Bill Russell","1966",1
"288","Bill Russell","1967",1
"289","Bill Russell","1968",1
"290","Bill Russell","1969",1
"291","Dolph Schayes","1951",1
"292","Dolph Schayes","1952",1
"293","Dolph Schayes","1953",1
"294","Dolph Schayes","1954",1
"295","Dolph Schayes","1955",1
"296","Dolph Schayes","1956",1
"297","Dolph Schayes","1957",1
"298","Dolph Schayes","1958",1
"299","Dolph Schayes","1959",1
"300","Dolph Schayes","1960",1
"301","Dolph Schayes","1961",1
"302","Dolph Schayes","1962",1
"303","Isiah Thomas","1982",1
"304","Isiah Thomas","1983",1
"305","Isiah Thomas","1984",1
"306","Isiah Thomas","1985",1
"307","Isiah Thomas","1986",1
"308","Isiah Thomas","1987",1
"309","Isiah Thomas","1988",1
"310","Isiah Thomas","1989",1
"311","Isiah Thomas","1990",1
"312","Isiah Thomas","1991",1
"313","Isiah Thomas","1992",1
"314","Isiah Thomas","1993",1
"315","Charles Barkley","1987",1
"316","Charles Barkley","1988",1
"317","Charles Barkley","1989",1
"318","Charles Barkley","1990",1
"319","Charles Barkley","1991",1
"320","Charles Barkley","1992",1
"321","Charles Barkley","1993",1
"322","Charles Barkley","1994",1
"323","Charles Barkley","1995",1
"324","Charles Barkley","1996",1
