"","Player","#","Selections[c]"
"1","Kareem Abdul-Jabbar",19,"1970–1977; 1979–1989"
"2","Kobe Bryant",18,"1998; 2000–2016"
"3","LeBron James",16,"2005–2020"
"4","Tim Duncan",15,"1998; 2000–2011; 2013; 2015"
"5","Kevin Garnett",15,"1997–1998; 2000–2011; 2013"
"6","Shaquille O'Neal",15,"1993–1998; 2000–2007; 2009"
"7","Michael Jordan",14,"1985–1993; 1996–1998; 2002–2003"
"8","Karl Malone",14,"1988–1998; 2000–2002"
"9","Dirk Nowitzki",14,"2002–2012; 2014–2015; 2019"
"10","Jerry West",14,"1961–1974"
"11","Wilt Chamberlain",13,"1960–1969; 1971–1973"
"12","Bob Cousy",13,"1951–1963"
"13","John Havlicek",13,"1966–1978"
"14","Dwyane Wade",13,"2005–2016; 2019"
"15","Larry Bird",12,"1980–1988; 1990–1992"
"16","Elvin Hayes",12,"1969–1980"
"17","Magic Johnson",12,"1980; 1982–1992"
"18","Moses Malone",12,"1978–1989"
"19","Hakeem Olajuwon",12,"1985–1990; 1992–1997"
"20","Oscar Robertson",12,"1961–1972"
"21","Bill Russell",12,"1958–1969"
"22","Dolph Schayes",12,"1951–1962"
"23","Isiah Thomas",12,"1982–1993"
"24","Charles Barkley",11,"1987–1997"
"25","Elgin Baylor",11,"1959–1965; 1967–1970"
"26","Chris Bosh",11,"2006–2016"
"27","Julius Erving",11,"1977–1987"
"28","Patrick Ewing",11,"1986; 1988–1997"
"29","Allen Iverson",11,"2000–2010"
"30","Bob Pettit",11,"1955–1965"
"31","Ray Allen",10,"2000–2002; 2004–2009; 2011"
"32","Carmelo Anthony",10,"2007–2008; 2010–2017"
"33","Paul Arizin",10,"1951–1952; 1955–1962"
"34","Clyde Drexler",10,"1986; 1988–1994; 1996–1997"
"35","Kevin Durant",10,"2010–2019"
"36","Hal Greer",10,"1961–1970"
"37","Jason Kidd",10,"1996; 1998; 2000–2004; 2007–2008; 2010"
"38","Chris Paul",10,"2008–2016; 2020"
"39","Paul Pierce",10,"2002–2006; 2008–2012"
"40","David Robinson",10,"1990–1996; 1998; 2000–2001"
"41","John Stockton",10,"1989–1997; 2000"
"42","George Gervin",9,"1977–1985"
"43","Robert Parish",9,"1981–1987; 1990–1991"
"44","Gary Payton",9,"1994–1998; 2000–2003"
"45","Russell Westbrook",9,"2011–2013; 2015–2020"
"46","Lenny Wilkens",9,"1963–1965; 1967–1971; 1973"
"47","Dominique Wilkins",9,"1986–1994"
"48","Rick Barry",8,"1966–1967; 1973–1978"
"49","Vince Carter",8,"2000–2007"
"50","Dave Cowens",8,"1972–1978; 1980"
"51","Dave DeBusschere",8,"1966–1968; 1970–1974"
"52","Alex English",8,"1982–1989"
"53","Larry Foust",8,"1951–1956; 1958–1959"
"54","James Harden",8,"2013–2020"
"55","Dwight Howard",8,"2007–2014"
"56","Bob Lanier",8,"1972–1975; 1977–1979; 1982"
"57","Dikembe Mutombo",8,"1992; 1995–1998; 2000–2002"
"58","Steve Nash",8,"2002–2003; 2005–2008; 2010; 2012"
"59","Bill Sharman",8,"1953–1960"
"60","Yao Ming",8,"2003–2009; 2011"
"61","LaMarcus Aldridge",7,"2012–2016; 2018–2019"
"62","Dave Bing",7,"1968–1969; 1971; 1973–1976"
"63","Anthony Davis",7,"2014–2020"
"64","Walt Frazier",7,"1970–1976"
"65","Harry Gallatin",7,"1951–1957"
"66","Grant Hill",7,"1995–1998; 2000–2001; 2005"
"67","Joe Johnson",7,"2007–2012; 2014"
"68","Jerry Lucas",7,"1964–1969; 1971"
"69","Ed Macauley",7,"1951–1957"
"70","Slater Martin",7,"1953–1959"
"71","Tracy McGrady",7,"2001–2007"
"72","Dick McGuire",7,"1951–1952; 1954–1956; 1958–1959"
"73","Kevin McHale",7,"1984; 1986–1991"
"74","Alonzo Mourning",7,"1994–1997; 2000–2002"
"75","Scottie Pippen",7,"1990; 1992–1997"
"76","Willis Reed",7,"1965–1971"
"77","Jack Sikma",7,"1979–1985"
"78","Nate Thurmond",7,"1965–1968; 1970; 1973–1974"
"79","Chet Walker",7,"1964; 1966–1967; 1970–1971; 1973–1974"
"80","Jo Jo White",7,"1971–1977"
"81","James Worthy",7,"1986–1992"
"82","Nate Archibald",6,"1973; 1975–1976; 1980–1982"
"83","Larry Costello",6,"1958–1962; 1965"
"84","Stephen Curry",6,"2014–2019"
"85","Adrian Dantley",6,"1980–1982; 1984–1986"
"86","Walter Davis",6,"1978–1981; 1984; 1987"
"87","Joe Dumars",6,"1990–1993; 1995; 1997"
"88","Pau Gasol",6,"2006; 2009–2011; 2015–2016"
"89","Paul George",6,"2013–2014; 2016–2019"
"90","Artis Gilmore",6,"1978–1979; 1981–1983; 1986"
"91","Blake Griffin",6,"2011–2015; 2019"
"92","Richie Guerin",6,"1958–1963"
"93","Tom Heinsohn",6,"1957; 1961–1965"
"94","Bailey Howell",6,"1961–1964; 1966–1967"
"95","Lou Hudson",6,"1969–1974"
"96","Kyrie Irving",6,"2013–2015; 2017–2019"
"97","Neil Johnston",6,"1953–1958"
