"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP"
"1","Curly Armstrong","G-F",31,"FTW",63,0,1895,144,516,0.279,0,0,0,144,516,0.279,0.279,170,241,0.705,0,0,0,176,0,0,0,217,458,1950,10.130909732528,0.368,0,0.467,0,0,3.63839717811053,12.5622534066857,0,0,0,0,-0.1,3.6,3.5,0.0886543535620053,0,0,0,0
"2","Cliff Barker","SG",29,"INO",49,0,825,102,274,0.372,0,0,0,102,274,0.372,0.372,75,106,0.708,0,0,0,109,0,0,0,99,279,1950,14.5887901001497,0.435,0,0.387,0,0,0.342076460184398,19.4965314730435,0,0,0,0,1.6,0.6,2.2,0.128,0,0,0,0
"3","Leo Barnhorst","SF",25,"CHS",67,0,1651,174,499,0.349,0,0,0,174,499,0.349,0.349,90,129,0.698,0,0,0,140,0,0,0,192,438,1950,11.6890120063656,0.394,0,0.259,0,0,3.63420110081342,12.1999969279657,0,0,0,0,0.9,2.8,3.6,0.104663840096911,0,0,0,0
"4","Ed Bartels","F",24,"TOT",15,0,188,22,86,0.256,0,0,0,22,86,0.256,0.256,19,34,0.559,0,0,0,20,0,0,0,29,63,1950,-4.01753097024806,0.312,0,0.395,0,0,8.01696245610798,8.92318199556282,0,0,0,0,-0.5,-0.1,-0.6,-0.153191489361702,0,0,0,0
"5","Ralph Beard","G",22,"INO",60,0,2100,340,936,0.363,0,0,0,340,936,0.363,0.363,215,282,0.762,0,0,0,233,0,0,0,132,895,1950,18.0489007194006,0.422,0,0.301,0,0,5.90767377519391,19.6384151408676,0,0,0,0,3.6,1.2,4.8,0.109714285714286,0,0,0,0
"6","Gene Berce","G-F",23,"TRI",3,0,36,5,16,0.313,0,0,0,5,16,0.313,0.313,0,5,0,0,0,0,2,0,0,0,6,10,1950,-4.97129649223049,0.275,0,0.313,0,0,14.0343633362377,1.92940434108531,0,0,0,0,-0.1,0,-0.1,-0.133333333333333,0,0,0,0
"7","Charlie Black","F-C",28,"TOT",65,0,1886,226,813,0.278,0,0,0,226,813,0.278,0.278,209,321,0.651,0,0,0,163,0,0,0,273,661,1950,12.1704446909367,0.346,0,0.395,0,0,5.67381215023605,12.7628992175515,0,0,0,0,-2.2,5,2.8,0.0712619300106044,0,0,0,0
"8","Nelson Bobb","PG",25,"PHW",57,0,724,80,248,0.323,0,0,0,80,248,0.323,0.323,82,131,0.626,0,0,0,46,0,0,0,97,242,1950,10.7425951799543,0.396,0,0.528,0,0,0.125958624434089,9.49881518112402,0,0,0,0,0.4,1.3,1.8,0.119337016574586,0,0,0,0
"9","Jake Bornheimer","F-C",22,"PHW",60,0,790,88,305,0.289,0,0,0,88,305,0.289,0.289,78,117,0.667,0,0,0,40,0,0,0,111,254,1950,8.42885559111929,0.356,0,0.384,0,0,0,7.11846664246498,0,0,0,0,-0.7,1.5,0.8,0.0486075949367089,0,0,0,0
"10","Vince Boryla","SF",22,"NYK",59,0,1532,204,600,0.34,0,0,0,204,600,0.34,0.34,204,267,0.764,0,0,0,95,0,0,0,203,612,1950,14.879302846984,0.426,0,0.445,0,0,5.55923219933516,9.04479877621254,0,0,0,0,2.6,1.4,3.9,0.122193211488251,0,0,0,0
"11","Don Boven","F-G",24,"WAT",62,0,1626,208,558,0.373,0,0,0,208,558,0.373,0.373,240,349,0.688,0,0,0,137,0,0,0,255,656,1950,-28.379295038989,0.461,0,0.625,0,0,5.67473218075401,10.1964227721969,0,0,0,0,4.4,-0.7,3.8,0.112177121771218,0,0,0,0
