"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","ORtg","DRtg","Yr"
"1","Kareem Abdul-Jabbar*","C","40","LAL","80","80","2308","10.1","19","0.532","0","0","0","10.1","18.9","0.532","4.3","5.6","0.762","2.5","7.6","10","2.8","1","1.9","3.3","4.5","24.4","109","107",1988
"2","Mark Acres","C","25","BOS","79","5","1151","4.6","8.6","0.532","0","0","0","4.6","8.6","0.532","3","4.7","0.64","4.5","7","11.5","1.8","1.2","1.1","2.3","8.4","12.2","113","109",1988
"3","Alvan Adams","C","33","PHO","82","25","1646","7.2","14.6","0.496","0","0.1","0.5","7.2","14.5","0.496","3.1","3.7","0.844","3.4","7.1","10.5","5.3","2.4","1.2","4","7.1","17.6","103","109",1988
"4","Michael Adams","PG","25","DEN","82","75","2778","6.8","15.2","0.449","2.3","6.2","0.367","4.5","9","0.505","2.7","3.3","0.834","0.7","3","3.7","8.2","2.8","0.3","2.4","2.3","18.6","115","107",1988
"5","Mark Aguirre","SF","28","DAL","77","77","2610","14.1","29.8","0.475","1","3.3","0.302","13.2","26.5","0.496","7.4","9.6","0.77","3.5","4.8","8.2","5.3","1.3","1.1","3.8","4.2","36.6","113","109",1988
"6","Danny Ainge","SG","28","BOS","81","81","3018","7.8","15.9","0.491","2.4","5.8","0.415","5.4","10.1","0.534","2.6","2.9","0.878","1","3.1","4","8.2","1.9","0.3","2.5","3.3","20.6","121","112",1988
"7","Mark Alarie","PF","24","WSB","63","0","769","9.2","19.1","0.48","0.3","1.1","0.222","8.9","17.9","0.496","2.2","3.1","0.714","4.5","5.7","10.2","2.5","0.6","0.8","3.2","6.8","20.8","103","110",1988
"8","Steve Alford","PG","23","DAL","28","0","197","5.3","13.8","0.382","0.3","2","0.125","5","11.8","0.426","4","4.3","0.941","0.8","5","5.8","5.8","4.3","0.8","3","5.8","14.8","101","103",1988
"9","Greg Anderson","PF","23","SAS","82","45","1984","8.8","17.5","0.501","0","0.1","0.2","8.8","17.4","0.503","4.6","7.6","0.604","3.7","8.2","11.9","1.8","1.3","2.8","3.3","5.3","22.2","103","110",1988
"10","Richard Anderson","PF","27","TOT","74","3","1350","5.9","15.1","0.39","1.6","5.2","0.32","4.2","9.9","0.426","2","2.6","0.753","3.1","7.3","10.4","3.8","1.8","0.5","2.1","4.7","15.4","105","107",1988
"11","Ron Anderson","SF","29","IND","74","1","1097","9.7","19.5","0.498","0","0.1","0","9.7","19.4","0.5","4.8","6.3","0.766","4","5.7","9.6","3.5","1.8","0.3","3.3","4.4","24.2","108","108",1988
"12","Joe Arlauckas","SF","22","SAC","9","0","85","7.8","24.1","0.326","0","0","0","7.8","24.1","0.326","3.4","4.5","0.75","3.4","3.9","7.3","4.5","1.7","2.2","2.2","9","19","88","112",1988
"13","Vincent Askew","SG","21","PHI","14","2","234","4.7","15.8","0.297","0","0","0","4.7","15.8","0.297","1.7","2.3","0.727","1.3","3.4","4.7","7","2.1","1.3","2.6","2.6","11.1","83","111",1988
"14","John Bagley","PG","27","NJN","82","74","2774","6.9","15.7","0.439","0.8","2.8","0.292","6.1","12.9","0.471","2.6","3.2","0.822","1.1","3.4","4.5","8.4","1.9","0.2","3.5","2.8","17.2","102","111",1988
"15","James Bailey","PF","30","PHO","65","0","869","5.9","13.2","0.452","0","0.2","0","5.9","12.9","0.46","3.8","4.9","0.787","4","7.5","11.5","2.3","0.9","1.5","3.8","9.8","15.7","97","111",1988
"16","Thurl Bailey","SF","26","UTA","82","10","2804","10.7","21.7","0.492","0","0.1","0.333","10.7","21.6","0.493","5.7","6.9","0.826","2.3","6.7","9","2.7","0.8","2.1","3.2","3.1","27","106","104",1988
"17","Charles Barkley*","PF","24","PHI","80","80","3170","11.9","20.2","0.587","0.7","2.5","0.28","11.2","17.8","0.63","11.3","15","0.751","6.1","8.9","15","4","1.6","1.6","4.8","4.4","35.7","126","108",1988
"18","John Battle","SG","25","ATL","67","1","1227","11.3","24.9","0.454","0.6","1.7","0.39","10.6","23.2","0.458","5.7","7.6","0.75","1.1","3.5","4.6","6.4","1.3","0.2","3","3.4","28.9","108","111",1988
"19","William Bedford","C","24","DET","38","0","298","7.2","16.5","0.436","0","0","0","7.2","16.5","0.436","2.1","3.8","0.565","4.4","6.2","10.6","0.7","1.3","2.8","3.1","7.7","16.5","92","104",1988
"20","Benoit Benjamin","C","23","LAC","66","59","2171","7.5","15.2","0.491","0","0.2","0","7.5","15","0.496","3.9","5.6","0.706","2.5","9.2","11.6","3.8","1.1","4.9","4.9","4.5","18.9","94","103",1988
"21","Kent Benson","C","33","CLE","2","0","12","8.2","8.2","1","0","0","0","8.2","8.2","1","4.1","8.2","0.5","0","4.1","4.1","0","4.1","4.1","8.2","8.2","20.5","82","100",1988
"22","Walter Berry","SF","23","SAS","73","56","1922","12.9","23","0.563","0","0","0","12.9","23","0.563","4.6","7.7","0.6","4.2","5.2","9.5","2.6","1.3","1.5","3.9","5","30.4","109","113",1988
"23","Larry Bird*","SF","31","BOS","76","75","2965","14.6","27.6","0.527","1.6","3.9","0.414","12.9","23.7","0.546","6.9","7.5","0.916","1.8","9.8","11.6","7.7","2.1","0.9","3.5","2.6","37.6","121","106",1988
"24","Otis Birdsong","SG","32","NJN","67","59","1882","8.7","19","0.458","0.2","0.6","0.36","8.5","18.4","0.461","1.2","2.4","0.511","1.9","2.4","4.3","5.7","1.4","0.3","3.3","3.7","18.9","95","113",1988
"25","Uwe Blab","C","25","DAL","73","1","658","4.4","9.9","0.439","0","0","0","4.4","9.9","0.439","3.5","4.9","0.708","3.9","6.2","10.1","2.6","0.6","2.2","3.7","8.1","12.2","97","109",1988
"26","Rolando Blackman","SG","28","DAL","71","69","2580","9.5","20.1","0.473","0","0.1","0","9.5","20","0.476","6.3","7.3","0.873","1.6","3.1","4.7","5","1.2","0.3","2.8","2.1","25.4","115","111",1988
"27","Nate Blackwell","PG","22","SAS","10","0","112","6.2","16.8","0.366","0.8","4.5","0.182","5.3","12.3","0.433","2.1","2.5","0.833","0.8","1.6","2.5","7.4","1.2","0","3.3","6.6","15.2","92","117",1988
"28","Muggsy Bogues","PG","23","WSB","79","14","1628","5","12.8","0.39","0.1","0.5","0.188","4.9","12.3","0.398","1.7","2.2","0.784","1.1","3","4.1","12.1","3.8","0.1","3","4.1","11.8","101","106",1988
"29","Manute Bol","C","25","WSB","77","4","1136","3.2","7.1","0.455","0","0","0","3.2","7.1","0.457","1.1","2.1","0.531","3.1","8.7","11.8","0.6","0.5","9","1.5","6.9","7.6","98","101",1988
"30","Dudley Bradley","SG","30","TOT","65","15","1437","5.3","12.4","0.427","1.3","3.5","0.363","4","8.9","0.452","2.5","3.3","0.763","0.8","3.5","4.3","5.1","3.9","1.5","3","5.8","14.3","100","106",1988
"31","Adrian Branch","SF","24","NJN","20","3","308","8.9","21.2","0.418","0.2","0.8","0.2","8.7","20.4","0.426","3.2","3.6","0.87","3.2","4.4","7.6","2.5","2.5","1.7","4.6","6.5","21","89","108",1988
"32","Randy Breuer","C","27","MIL","81","73","2258","8.5","17.2","0.495","0","0","0","8.5","17.2","0.495","4.1","6.2","0.657","4.2","7.8","12","2.2","1","2.3","2.3","4.3","21.1","109","106",1988
"33","Frank Brickowski","C","28","SAS","70","68","2227","8.8","16.6","0.528","0","0.1","0.2","8.8","16.5","0.53","5.5","7.2","0.768","3.4","6.5","10","5.5","1.5","0.7","4.3","5.7","23.1","110","113",1988
"34","Michael Brooks","SF","29","DEN","16","0","133","6.8","16.8","0.408","0","0","0","6.8","16.8","0.408","1","1.4","0.75","6.5","8.6","15.1","4.4","1.4","0.3","4.1","7.2","14.7","91","106",1988
"35","Mike Brown","C","24","CHI","46","27","591","6.6","14.8","0.448","0","0.1","0","6.6","14.7","0.451","3.5","6","0.577","5.6","7.9","13.5","2.4","0.9","0.3","3.2","7.2","16.8","100","107",1988
"36","Steve Burtt","SG","25","LAC","19","0","312","9.5","21.1","0.449","0","0.6","0","9.5","20.4","0.463","7.2","10.5","0.681","0.9","3.2","4.1","5.8","1.5","0.8","6.1","8.5","26.1","92","110",1988
"37","Michael Cage","PF","26","LAC","72","70","2660","6.4","13.7","0.47","0","0","0","6.4","13.7","0.471","5.8","8.5","0.688","6.6","10.1","16.8","2","1.6","1","2.9","3.5","18.7","109","105",1988
"38","Tony Campbell","SF","25","LAL","13","1","242","11.4","20.2","0.564","0.2","0.6","0.333","11.2","19.6","0.571","5.6","7.8","0.718","1.6","3.8","5.4","3","2.2","0.4","5.2","8.2","28.6","104","108",1988
"39","Rick Carlisle","SG","28","NYK","26","0","204","6.9","15.9","0.433","1.4","4","0.353","5.5","11.9","0.46","2.4","2.6","0.909","1.4","1.7","3.1","7.6","2.6","1","5.2","9.3","17.6","97","108",1988
"40","Antoine Carr","PF","26","ATL","80","2","1483","9.4","17.4","0.544","0","0.1","0.25","9.4","17.2","0.546","4.8","6.1","0.78","3.2","6.5","9.7","3.5","1.3","2.8","3.9","9.1","23.7","110","106",1988
"41","Joe Barry Carroll","C","29","TOT","77","30","2004","9.5","21.8","0.435","0","0","0","9.5","21.7","0.436","4","5.3","0.764","3.1","8.4","11.5","2.7","1.2","2.5","3.9","4.6","23","95","105",1988
"42","Bill Cartwright","C","30","NYK","82","4","1676","8.3","15.3","0.544","0","0","0","8.3","15.3","0.544","9.8","12.3","0.798","3.7","7.4","11.1","2.5","1.2","1.2","3.9","6.8","26.4","120","106",1988
"43","Terry Catledge","PF","24","WSB","70","40","1610","9","17.8","0.506","0","0.1","0","9","17.7","0.508","4.7","7.1","0.655","5.5","6.6","12.1","1.9","1","0.3","3.1","5.2","22.7","109","109",1988
"44","Tom Chambers","PF","28","SEA","82","82","2680","10.9","24.4","0.448","0.6","1.9","0.303","10.3","22.4","0.461","7.5","9.3","0.807","2.4","6.3","8.8","3.8","1.6","0.9","3.7","5.3","29.9","108","108",1988
"45","Maurice Cheeks*","PG","31","PHI","79","79","2871","7.5","15.1","0.495","0.1","0.4","0.136","7.4","14.7","0.504","4","4.8","0.825","1","3.4","4.4","11.1","2.9","0.4","2.8","2","18.9","119","110",1988
"46","Ben Coleman","PF","26","TOT","70","24","1498","7.5","14.9","0.499","0","0.1","0","7.5","14.8","0.502","4.7","6.1","0.762","3.8","7.7","11.5","2","1.4","1.4","4.2","7.6","19.6","102","109",1988
"47","Norris Coleman","SF","26","LAC","29","11","431","7.3","21.1","0.346","0.1","0.2","0.5","7.2","20.9","0.344","2.2","4","0.556","4","5","8.9","1.4","1.2","0.7","1.8","5.6","16.9","84","110",1988
"48","Steve Colter","PG","25","TOT","68","53","1513","6.6","14.3","0.46","0.1","0.3","0.3","6.5","14","0.464","2.4","3.1","0.789","1.9","3.7","5.6","8.5","2","0.5","2.9","4.3","15.7","107","109",1988
"49","Dallas Comegys","PF","23","NJN","75","17","1122","6.8","15.8","0.43","0","0","0","6.8","15.7","0.431","4.6","6.5","0.707","2.3","7.1","9.5","2.8","1.6","3","5","7.6","18.1","88","107",1988
"50","Lester Conner","PG","28","HOU","52","3","399","5.9","12.8","0.463","0","0.8","0","5.9","11.9","0.495","3.8","4.8","0.78","2.4","2.1","4.5","7","4.5","0.1","3.9","3.7","15.6","103","104",1988
"51","Jeff Cook","PF","31","PHO","33","0","359","1.8","7.8","0.237","0","0.1","0","1.8","7.7","0.241","3","3.7","0.821","4.9","9.1","14","1.8","1.2","1.1","1.8","8.5","6.7","92","110",1988
"52","Michael Cooper","SG","31","LAL","61","8","1793","5.1","13","0.392","1.5","4.8","0.32","3.6","8.2","0.434","2.6","3.1","0.858","1.4","4.8","6.2","7.8","1.8","0.7","2.7","3.7","14.4","107","108",1988
"53","Wayne Cooper","C","31","DEN","45","32","865","6.2","14.2","0.437","0","0.1","0","6.2","14.2","0.439","2.6","3.5","0.746","5.2","9","14.2","1.6","0.6","4.9","3.1","7.6","15","97","103",1988
"54","Tyrone Corbin","SF","25","TOT","84","5","1739","7.2","14.7","0.49","0","0.2","0.167","7.2","14.5","0.493","3.1","3.9","0.797","3.6","6.2","9.8","3.2","2","0.5","2.9","5.1","17.5","106","108",1988
"55","Dave Corzine","C","31","CHI","80","32","2328","7.4","15.4","0.481","0","0.2","0.111","7.4","15.2","0.486","2.5","3.3","0.752","3.7","7.7","11.4","3.3","0.8","2.1","2.4","3.2","17.4","108","106",1988
"56","Winston Crite","SF","22","PHO","29","0","258","6.2","12.5","0.5","0","0","0","6.2","12.5","0.5","3.5","4.6","0.76","5","6.8","11.8","2.8","0.9","1.5","4.6","7.7","16","98","111",1988
"57","Pat Cummings","PF","31","NYK","62","9","946","7.2","15.7","0.456","0","0.1","0","7.2","15.7","0.458","3","4.1","0.738","4.2","7.8","12","1.9","1","0.5","3.3","7.3","17.4","99","107",1988
"58","Terry Cummings","PF","26","MIL","76","76","2629","12.6","26.1","0.485","0","0.1","0.333","12.6","26","0.485","5.1","7.6","0.665","3.4","6.9","10.3","3.4","1.5","0.9","3.2","5.1","30.3","105","107",1988
"59","Earl Cureton","PF","30","LAC","69","11","1128","5.6","13.1","0.429","0","0.1","0","5.6","13","0.433","1.4","2.7","0.524","4.1","7.3","11.4","2.7","1.4","1.5","2.4","5.7","12.6","93","107",1988
"60","Dell Curry","SG","23","CLE","79","8","1499","11.2","24.4","0.458","0.9","2.7","0.346","10.3","21.7","0.472","2.6","3.3","0.782","1.4","4","5.5","4.9","3.1","0.7","3.6","4.2","25.9","99","105",1988
"61","Quintin Dailey","SG","27","LAC","67","7","1282","12.2","28","0.434","0.1","0.4","0.167","12.1","27.6","0.439","9","11.6","0.776","2.3","3.4","5.7","4","2.6","0.1","4.6","4.8","33.5","100","109",1988
"62","Adrian Dantley*","SF","32","DET","69","50","2144","10.1","19.6","0.514","0","0","0","10.1","19.6","0.516","11.2","13","0.86","1.9","3.3","5.2","3.9","0.9","0.2","3.1","3.3","31.4","124","109",1988
"63","Brad Daugherty","C","22","CLE","79","78","2957","9.2","18","0.51","0","0","0","9.2","18","0.511","6.3","8.8","0.716","2.5","8.6","11.1","5.6","0.8","0.9","4.5","3.9","24.7","107","107",1988
"64","Brad Davis","PG","32","DAL","75","12","1480","7","13.9","0.501","1","2.5","0.405","6","11.4","0.522","3","3.6","0.843","0.6","2.8","3.4","10.1","1.7","0.6","3","5","18","119","110",1988
"65","Charles Davis","SF","29","TOT","21","0","226","9.9","23.7","0.417","0.2","3.5","0.059","9.7","20.2","0.48","1.4","2.1","0.7","3.3","5.1","8.4","4.1","0.4","0.8","3.7","6","21.4","90","115",1988
"66","Walter Davis","SF","33","PHO","68","48","1951","11.9","25.1","0.473","0.9","2.3","0.375","11","22.7","0.483","5","5.6","0.887","0.8","3.1","3.9","6.8","2.1","0.1","3.1","3.2","29.6","110","113",1988
"67","Darryl Dawkins","C","31","TOT","6","0","33","2.9","13","0.222","0","0","0","2.9","13","0.222","8.7","21.6","0.4","2.9","4.3","7.2","2.9","0","2.9","10.1","20.2","14.4","55","106",1988
"68","Johnny Dawkins","PG","24","SAS","65","61","2179","8.5","17.6","0.485","0.4","1.3","0.311","8.1","16.3","0.499","4.2","4.7","0.896","1.4","2.9","4.3","10.1","1.9","0","3.3","2","21.7","114","115",1988
"69","Darren Daye","SF","27","BOS","47","8","655","8.4","16.2","0.516","0","0.1","0","8.4","16.2","0.519","4.4","6.5","0.678","2.2","3.4","5.7","5.3","2.2","0.3","3.3","5.1","21.2","108","111",1988
"70","James Donaldson","C","30","DAL","81","81","2523","4.2","7.5","0.558","0","0","0","4.2","7.5","0.558","2.9","3.7","0.778","4.8","10","14.8","1.3","0.8","2","2.2","3.4","11.2","119","106",1988
"71","Billy Donovan","PG","22","NYK","44","0","364","5.9","14.5","0.404","0","0.9","0","5.9","13.6","0.431","2.3","2.8","0.81","0.7","2.7","3.3","11.6","2.1","0.1","5.6","4.4","14","90","109",1988
"72","Greg Dreiling","C","25","IND","20","0","74","5.3","11.3","0.471","0","0","0","5.3","11.3","0.471","11.9","17.2","0.692","2","9.3","11.3","3.3","1.3","2.6","7.3","12.6","22.5","95","104",1988
"73","Larry Drew","PG","29","LAC","74","51","2024","7.7","16.9","0.456","0.6","2.1","0.289","7.1","14.8","0.479","2","2.5","0.769","0.5","2.3","2.8","9","1.5","0","3.6","2.7","18","100","112",1988
"74","Clyde Drexler*","SG","25","POR","81","80","3060","12.9","25.4","0.506","0.2","0.8","0.212","12.7","24.6","0.515","7.2","8.9","0.811","4","4.1","8.1","7.1","3.1","0.8","3.6","3.8","33.1","118","106",1988
"75","Kevin Duckworth","C","23","POR","78","50","2223","9.4","18.9","0.496","0","0","0","9.4","18.9","0.496","6.9","9","0.77","4.7","7.3","12","1.4","0.6","0.7","3.7","5.8","25.7","110","109",1988
