"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","W","Yr"
"1","Arron Afflalo","SG","22","DET","12","0","7","0.6","1.5","0.389","0","0.2","0","0.6","1.3","0.438","0.389","0","0","0","0","0.4","0.4","0.5","0.3","0","0.1","0.4","1.2","10",2008
"2","Malik Allen","PF","29","DAL","3","0","6","0","0.3","0","0","0","0","0","0.3","0","0","0","0","0","0","0","0","0","0","0","0","1.3","0","1",2008
"3","Ray Allen*","SG","32","BOS","26","26","38","5.1","12","0.428","2.1","5.3","0.396","3","6.6","0.453","0.516","3.2","3.5","0.913","1","2.8","3.8","2.7","0.9","0.3","1.5","2.4","15.6","16",2008
"4","Tony Allen","SG","26","BOS","15","0","4.3","0.6","1.1","0.563","0","0.1","0","0.6","1","0.6","0.563","0.1","0.3","0.4","0.1","0.1","0.2","0.2","0.1","0","0.1","0.3","1.3","16",2008
"5","Rafer Alston","PG","31","HOU","4","4","31.5","5.3","12","0.438","2.8","6.3","0.44","2.5","5.8","0.435","0.552","1","1.3","0.8","0.5","1","1.5","4.5","1","0","1.5","1.8","14.3","2",2008
"6","Lou Amundson","PF","25","PHI","2","0","5","1","2","0.5","0","0","0","1","2","0.5","0.5","0.5","1","0.5","2.5","1","3.5","0","0","0","0","1","2.5","2",2008
"7","Carmelo Anthony","SF","23","DEN","4","4","36.5","8","22","0.364","0.5","2","0.25","7.5","20","0.375","0.375","6","7.3","0.828","4.8","4.8","9.5","2","0.5","0.3","3","4.3","22.5","0",2008
"8","Gilbert Arenas","PG","26","WAS","4","2","23.5","3.5","9","0.389","1.3","3","0.417","2.3","6","0.375","0.458","2.5","3","0.833","0","1.8","1.8","2.8","0.5","0","2","3.3","10.8","2",2008
"9","Trevor Ariza","SF","22","LAL","8","0","5.6","0.9","1.5","0.583","0.1","0.5","0.25","0.8","1","0.75","0.625","0.3","0.5","0.5","0.4","1","1.4","0.1","0.1","0.1","0.1","0.9","2.1","14",2008
"10","Hilton Armstrong","C","23","NOH","8","0","9","1","1.6","0.615","0","0","0","1","1.6","0.615","0.615","0.6","1.3","0.5","1.1","1.4","2.5","0","0","0.8","0.5","1.5","2.6","7",2008
