"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"1","Henry Akin","PF",22,"NYK",50,0,453,83,230,0.361,0,0,0,83,230,0.361,0.361,26,37,0.703,0,0,120,25,0,0,0,82,192,1967,8.5,0.39,0,0.161,0,0,0,7.4,0,0,0,0,-0.9,0.2,-0.7,-0.073,0,0,0,0
"2","Al Attles*","PG",30,"SFW",69,0,1764,212,467,0.454,0,0,0,212,467,0.454,0.454,88,151,0.583,0,0,321,269,0,0,0,265,512,1967,10.2,0.48,0,0.323,0,0,0,17.9,0,0,0,0,0.9,2.6,3.5,0.096,0,0,0,0
"3","Johnny Austin","SG",22,"BAL",4,0,61,5,22,0.227,0,0,0,5,22,0.227,0.227,13,16,0.813,0,0,7,4,0,0,0,12,23,1967,5.7,0.396,0,0.727,0,0,0,7.7,0,0,0,0,-0.1,0,-0.1,-0.043,0,0,0,0
"4","Jim Barnes","PF",25,"LAL",80,0,1398,217,497,0.437,0,0,0,217,497,0.437,0.437,128,187,0.684,0,0,450,47,0,0,0,266,562,1967,11,0.485,0,0.376,0,0,0,4.1,0,0,0,0,0.9,1.2,2.1,0.071,0,0,0,0
"5","Dick Barnett","SG",30,"NYK",67,0,1969,454,949,0.478,0,0,0,454,949,0.478,0.478,231,295,0.783,0,0,226,161,0,0,0,185,1139,1967,15.6,0.528,0,0.311,0,0,0,11.6,0,0,0,0,4.2,0.5,4.7,0.114,0,0,0,0
"6","Jim Barnett","SG",22,"BOS",48,0,383,78,211,0.37,0,0,0,78,211,0.37,0.37,42,62,0.677,0,0,53,41,0,0,0,61,198,1967,10.4,0.415,0,0.294,0,0,0,14.4,0,0,0,0,-0.5,0.5,0,0.003,0,0,0,0
"7","John Barnhill","PG",28,"BAL",53,0,1214,187,447,0.418,0,0,0,187,447,0.418,0.418,66,103,0.641,0,0,157,136,0,0,0,80,440,1967,10.6,0.447,0,0.23,0,0,0,14.3,0,0,0,0,-0.1,0.8,0.7,0.026,0,0,0,0
"8","Rick Barry*","SF",22,"SFW",78,0,3175,1011,2240,0.451,0,0,0,1011,2240,0.451,0.451,753,852,0.884,0,0,714,282,0,0,0,258,2775,1967,24.2,0.531,0,0.38,0,0,0,13.6,0,0,0,0,10.1,4.3,14.4,0.218,0,0,0,0
"9","Elgin Baylor*","SF",32,"LAL",70,0,2706,711,1658,0.429,0,0,0,711,1658,0.429,0.429,440,541,0.813,0,0,898,215,0,0,0,211,1862,1967,20.2,0.491,0,0.326,0,0,0,11.3,0,0,0,0,3.5,2.7,6.2,0.109,0,0,0,0
"10","Zelmo Beaty*","C",27,"STL",48,0,1661,328,694,0.473,0,0,0,328,694,0.473,0.473,197,260,0.758,0,0,515,60,0,0,0,189,853,1967,16.5,0.528,0,0.375,0,0,0,5.1,0,0,0,0,3.1,1.4,4.5,0.131,0,0,0,0
"11","Walt Bellamy*","C",27,"NYK",79,0,3010,565,1084,0.521,0,0,0,565,1084,0.521,0.521,369,580,0.636,0,0,1064,206,0,0,0,275,1499,1967,18.4,0.56,0,0.535,0,0,0,9.2,0,0,0,0,7.4,1.4,8.8,0.14,0,0,0,0
"12","Dave Bing*","PG",23,"DET",80,0,2762,664,1522,0.436,0,0,0,664,1522,0.436,0.436,273,370,0.738,0,0,359,330,0,0,0,217,1601,1967,16.5,0.475,0,0.243,0,0,0,18.1,0,0,0,0,2,3.2,5.3,0.092,0,0,0,0
"13","John Block","PF",22,"LAL",22,0,118,20,52,0.385,0,0,0,20,52,0.385,0.385,24,34,0.706,0,0,45,5,0,0,0,20,64,1967,15.1,0.478,0,0.654,0,0,0,5.3,0,0,0,0,0.1,0.1,0.2,0.079,0,0,0,0
"14","Bob Boozer","PF",29,"CHI",80,0,2451,538,1104,0.487,0,0,0,538,1104,0.487,0.487,360,461,0.781,0,0,679,90,0,0,0,212,1436,1967,18.4,0.549,0,0.418,0,0,0,5.3,0,0,0,0,6.6,2.9,9.4,0.184,0,0,0,0
"15","Nate Bowman","C",23,"CHI",9,0,65,8,21,0.381,0,0,0,8,21,0.381,0.381,6,8,0.75,0,0,28,2,0,0,0,18,22,1967,9.8,0.449,0,0.381,0,0,0,3.9,0,0,0,0,0,0.1,0.1,0.067,0,0,0,0
