"","Player","psc","PL"
"1","Michael Jordan",1,0.838134859560263
"2","David Robinson",0.913864903895826,0.383149668314005
"3","Shaquille O'Neal",0.843235625880818,0.826334641161982
"4","Wilt Chamberlain",0.842679060467625,0.675486794054655
"5","Kareem Abdul-Jabbar",0.826818409750121,0.992131535782015
"6","Hakeem Olajuwon",0.813848266432251,0.522268738035894
"7","Karl Malone",0.794797533577731,0.606142903056377
"8","LeBron James",0.793368622781562,1
"9","Kevin Garnett",0.770387494935798,0.355881091914888
"10","Moses Malone",0.764475234206912,0.340846125794695
"11","Charles Barkley",0.763063995718824,0.385161293661101
"12","James Harden",0.739142785065842,0.315233200095766
"13","Tim Duncan",0.733140039246852,0.864258967501277
"14","Kevin Durant",0.732887827070843,0.571004748805662
"15","Russell Westbrook",0.72155722790172,0.313157499655601
"16","Larry Bird",0.715004236992648,0.676068635399239
"17","Patrick Ewing",0.708797694056712,0.442657381764384
"18","Patrick Ewing",0.708797694056712,0.00176502196157571
"19","Bob McAdoo",0.704933130515875,0.310588058817406
"20","Kobe Bryant",0.689069447841238,0.783740759040372
"21","Dwyane Wade",0.669817943136321,0.558889343230629
"22","Dwight Howard",0.663228397711638,0.246482443878891
"23","Magic Johnson",0.641257722282643,0.779662457201282
"24","Julius Erving",0.625850661462911,0.537676014993226
"25","Adrian Dantley",0.611457560904868,0.191136215131842
"26","Dirk Nowitzki",0.611420536564862,0.402621340473767
"27","Clyde Drexler",0.611336139324128,0.414785880716583
"28","Giannis Antetokounmpo",0.608098864316699,0.0981184815277462
"29","Chris Paul",0.592074276457356,0.25293939764565
"30","Tracy McGrady",0.591716170175435,0.0886069047757343
"31","Anthony Davis",0.577485463638742,0.032818564542131
"32","Oscar Robertson",0.566308117495868,0.327890138581482
"33","Dominique Wilkins",0.56502376171725,0.129954894087244
"34","Amar'e Stoudemire",0.562401585875784,0.185190107423402
"35","Elton Brand",0.560622247344586,0.0711125797054756
"36","Alex English",0.547608615131743,0.16164063434755
"37","Grant Hill",0.546605725777299,0.0598932456271709
"38","Stephen Curry",0.546567179624829,0.474423341934169
"39","George Gervin",0.536187973598037,0.178987314258279
"40","John Stockton",0.53342419531506,0.392450915463233
"41","Artis Gilmore",0.531814235687978,0.078288690454349
"42","Paul Pierce",0.5287870562804,0.414557369825934
"43","Scottie Pippen",0.523258664230238,0.735421656047872
"44","Allen Iverson",0.517431941395546,0.193289650517389
"45","Bob Lanier",0.512064261389117,0.171682365937689
"46","Alonzo Mourning",0.502093343621194,0.193749076197136
"47","Karl-Anthony Towns",0.499202217703273,0.00446155423234219
"48","Shawn Marion",0.498320443259051,0.233346340969288
"49","Kevin McHale",0.497346140404282,0.504577134609859
"50","Shawn Kemp",0.496800833048986,0.226444568016892
"51","Rick Barry",0.490035465411477,0.280003668758345
"52","Chris Mullin",0.48775464507048,0.14213828200883
"53","Chris Webber",0.48743518314164,0.212237026560517
"54","Blake Griffin",0.484895677125386,0.121443939034643
"55","Gary Payton",0.484840485285323,0.312370880047009
"56","Isiah Thomas",0.482247705770611,0.389469891297002
"57","Vince Carter",0.480629333195514,0.165215301968276
"58","Pau Gasol",0.474556008905365,0.321952058884418
"59","Elvin Hayes",0.471858358818572,0.31756535809176
"60","Jack Sikma",0.468079709857827,0.252239564820841
"61","Gilbert Arenas",0.465104460463078,0.0471060721309488
"62","Robert Parish",0.459395574340043,0.545253792741582
"63","Walt Bellamy",0.455913410786133,0.111271720084621
"64","Jerry West",0.455585649742225,0.735666225613603
"65","Elgin Baylor",0.45534087515322,0.635327127031246
"66","Mark Aguirre",0.45297059921014,0.243547257132442
"67","DeMarcus Cousins",0.452373328103949,0.0390781694849616
"68","Terry Cummings",0.450421168323061,0.207171896965172
"69","Kevin Johnson",0.449687930413369,0.275309662736527
"70","Kevin Love",0.448046789941232,0.225232924428626
"71","Tom Chambers",0.440896902145213,0.22545954679467
"72","Paul George",0.438313167129957,0.167287352759941
"73","Carmelo Anthony",0.436869536514098,0.136096132129233
"74","Dan Issel",0.436636031344804,0.113417549412985
"75","Andre Drummond",0.436254211331886,0
"76","Sidney Moncrief",0.434157583911556,0.209485506407538
"77","Bob Pettit",0.433048833931035,0.486629458592822
"78","Tiny Archibald",0.432771557155289,0.131683702860074
"79","Buck Williams",0.419175061984586,0.202462597714905
"80","Marques Johnson",0.416689533862341,0.154000853386827
"81","Fat Lever",0.413936529248815,0.0950471634577345
"82","Bernard King",0.410382970215913,0.0601052228086071
"83","Carlos Boozer",0.409973195772933,0.173252371882189
"84","Rudy Gobert",0.4082259707614,0.0408002753922883
"85","Brad Daugherty",0.407100877991169,0.0943721845166722
"86","DeAndre Jordan",0.403168055487288,0.0963574576869915
"87","Nikola Jokic",0.401566386315143,0.0429913725986734
"88","Tim Hardaway",0.399740787905162,0.115452798540647
"89","Kiki Vandeweghe",0.3993050309179,0.100044575111219
"90","Shareef Abdur-Rahim",0.39621388374494,0.00563576090993523
"91","Damian Lillard",0.395985644087527,0.101006709629781
"92","Larry Nance",0.395366690786256,0.168553967571433
"93","Steve Francis",0.395075573981324,0.00511954272473588
"94","LaMarcus Aldridge",0.393924071136651,0.143162674899581
"95","Anfernee Hardaway",0.393190242223388,0.143649185106479
"96","Detlef Schrempf",0.39253694873415,0.191623258427952
"97","Chris Bosh",0.391232061789075,0.253844192011488
"98","David Thompson",0.385989138530584,0.0571655874123444
"99","Kawhi Leonard",0.383268422712228,0.34763612404149
"100","Gus Williams",0.381534441480235,0.27119696133839
"101","Jerry Stackhouse",0.380483976443502,0.108353979198777
"102","Yao Ming",0.37996218192614,0.0672718101603929
"103","George McGinnis",0.3785737885547,0.0838699360144988
"104","Derrick Coleman",0.377696844034528,0.0776609742819236
"105","Dikembe Mutombo",0.37755875777248,0.183900846118355
"106","Jeff Ruland",0.375570144501991,0.0374842528453668
"107","Larry Johnson",0.373906897908777,0.143706253879819
"108","Otis Thorpe",0.373126788580035,0.12197127365589
"109","Jermaine O'Neal",0.3727457332355,0.162679504461952
"110","Vin Baker",0.370613616527987,0.0356317763439632
"111","John Havlicek",0.370327537469277,0.717727385070879
"112","Joe Barry Carroll",0.370070788802769,0.0250642873131914
"113","Alvin Robertson",0.369579679803078,0.0056593469038362
"114","Micheal Ray Richardson",0.367173975326337,0.0247259030885743
"115","Jason Kidd",0.36664445347651,0.348087352571515
"116","David Lee",0.366198836329834,0.0613986476113038
"117","Zach Randolph",0.365188554896756,0.144680197228237
"118","Reggie Miller",0.362780826914162,0.34877172703442
"119","George Mikan",0.36154006738501,0.342097610978485
"120","Bill Laimbeer",0.360597364549559,0.29558865366573
"121","Antoine Walker",0.359083261743389,0.14952999874349
"122","Dave Cowens",0.358284137316174,0.337063487612872
"123","Cedric Maxwell",0.357723138450819,0.237639353834942
"124","John Wall",0.357187808992558,0.107802886485415
"125","Kevin Willis",0.353033851673452,0.151100588397563
"126","Jimmy Butler",0.352800948478923,0.0984797492351031
"127","Antawn Jamison",0.350961554398157,0.0622630301267576
"128","Stephon Marbury",0.350406613194205,0.0290193553988526
"129","Mitch Richmond",0.350279736064732,0.0636022081029451
"130","Bill Cartwright",0.349829172909383,0.255807671684471
"131","World B. Free",0.349297301740734,0.0662834320642282
"132","Mychal Thompson",0.348770834593728,0.211114541721527
"133","Ray Allen",0.348707739161077,0.379929039142892
"134","Ralph Sampson",0.348205027705615,0.126948105571892
"135","Al Jefferson",0.347882338558213,0.0168101709767863
"136","Ray Williams",0.347407896501921,0.0630653961789418
"137","DeMar DeRozan",0.345445303914003,0.11428590758172
"138","Dan Roundfield",0.345332743605848,0.0812677324211414
"139","Ron Harper",0.345330180751065,0.253837901990045
"140","Calvin Natt",0.34477761960669,0.0996169168148607
"141","Josh Smith",0.340682141704335,0.128774179434809
"142","Paul Westphal",0.338411697772051,0.210524920660651
"143","Danny Manning",0.336721386343846,0.0676240687047942
"144","John Drew",0.335248084240798,0.044673650996315
"145","James Worthy",0.334895385649772,0.4848300224499
"146","Reggie Theus",0.334844354501118,0.0172815253204197
"147","Walter Davis",0.334192154349258,0.16519829460065
"148","Vlade Divac",0.334084719247677,0.247759336176709
"149","Dale Ellis",0.332342762595861,0.109263805314871
"150","Christian Laettner",0.328682996168266,0.061591694869777
"151","Andrei Kirilenko",0.328332796083961,0.0781578010390512
"152","Xavier McDaniel",0.32738515013325,0.100370463294986
"153","Nikola Vucevic",0.324398873061581,0.0064646829842332
"154","Marc Gasol",0.323873541515428,0.193669607673575
"155","Sam Cassell",0.323801840854826,0.2648188447964
"156","Terry Porter",0.322561270299847,0.229064697937811
"157","Walt Frazier",0.322219977637607,0.326347432899816
"158","Billy Cunningham",0.321711230263328,0.132865750215037
"159","Anthony Mason",0.320937585621742,0.154886119337473
"160","Paul Millsap",0.317954078133602,0.165956586784699
"161","Andre Iguodala",0.31754545535529,0.298446493020455
"162","Horace Grant",0.317369191894638,0.453400486693539
"163","Derrick Rose",0.315221710335029,0.113969190291655
"164","Rudy Tomjanovich",0.315152974609156,0.0622614002966704
"165","Baron Davis",0.31188631088077,0.108957905359235
"166","Rod Strickland",0.31082790026758,0.0656681785805996
"167","Mickey Johnson",0.310784918193511,0.0374705661855976
"168","Bobby Jones",0.308575072375745,0.312782736744063
"169","Isaiah Thomas",0.308231503691907,0.0537117140240576
"170","Neil Johnston",0.307699495679333,0.0939346983556936
"171","Rasheed Wallace",0.307128759336189,0.382688919190264
"172","Tom Gugliotta",0.306193016140448,0.00445602170799949
"173","Brook Lopez",0.303836111649852,0.0592126560488335
"174","Latrell Sprewell",0.303617190247405,0.157142949394968
"175","Andre Miller",0.30349405832375,0.0764243906255705
"176","Lamar Odom",0.303101475552925,0.248288379772407
"177","Richard Jefferson",0.301705854137039,0.250372825769534
"178","Deron Williams",0.300294664815645,0.164127147348455
"179","Steve Nash",0.29999541790548,0.254220833974642
"180","Larry Kenon",0.299021493098747,0.0669618720380409
"181","Kyle Lowry",0.298894195076701,0.181246270196445
"182","Spencer Haywood",0.298234438259122,0.0794082219761695
"183","Mike Mitchell",0.296800613662169,0.078714445766399
"184","Gerald Wallace",0.29633498697381,0.03753410453892
"185","Chauncey Billups",0.29606616113425,0.359684709131949
"186","Clifford Robinson",0.295406823113141,0.207895222388682
"187","Sidney Wicks",0.295312569493209,0.0214325742151434
"188","Glen Rice",0.29508734316351,0.102888924704198
"189","Michael Finley",0.29443090623189,0.210722079875058
"190","Alvan Adams",0.292579474572405,0.182902227051371
"191","David West",0.291681128089689,0.234024499681547
"192","Purvis Short",0.291355027216182,0.0186355267484849
"193","Jerome Kersey",0.291327425632245,0.24742244275745
"194","Hersey Hawkins",0.289232553460684,0.144074234172368
"195","Jeff Hornacek",0.289018925617515,0.312717830912954
"196","Kemba Walker",0.288640038738891,0.0135682236518342
"197","Juwan Howard",0.288339240029073,0.048525699075081
"198","Antonio McDyess",0.287558268153467,0.14830486706004
"199","Dave Bing",0.286823670411595,0.0535872456760996
"200","Bailey Howell",0.286725967291171,0.257420103950569
"201","Hassan Whiteside",0.286332738056097,0.0309861269911364
"202","Willis Reed",0.286002298766503,0.232588051330326
"203","Sleepy Floyd",0.285414544686454,0.0432060533028645
"204","Reggie Lewis",0.285401433227491,0.0851973434327876
"205","Jamaal Wilkes",0.28493945150428,0.363735711768284
"206","Mookie Blaylock",0.283263412920387,0.079371884180229
"207","Terrell Brandon",0.282256448429146,0.0363894851018254
"208","Ben Wallace",0.282215331361338,0.278850664362275
"209","Manu Ginobili",0.281172630359019,0.496029817963796
"210","Peja Stojakovic",0.280866873221019,0.194332142062157
"211","Derek Harper",0.279424655528655,0.170618394783362
"212","Dennis Johnson",0.276642611573555,0.54064586828474
"213","Richie Guerin",0.276554143380724,0.142379307195667
"214","Truck Robinson",0.274909705443355,0.128385370931701
"215","Dennis Rodman",0.272846742422325,0.402899860499237
"216","Al Horford",0.272470814179041,0.233779737604697
"217","Michael Redd",0.271902867332807,0.0144063271584174
"218","Kenny Anderson",0.271197626888927,0.0537547747674992
"219","Rolando Blackman",0.269243838754106,0.122993034955011
"220","Pete Maravich",0.269112848447784,0.0445465953050455
"221","Kendall Gill",0.269056051653316,0.0323201394306779
"222","Bill Russell",0.268937249835765,0.828967660843602
"223","Jamal Mashburn",0.268908804870784,0.113535362961353
"224","Zydrunas Ilgauskas",0.268453754666929,0.169405417301449
"225","Otis Birdsong",0.266467671731439,0.0645676723886751
"226","Jack Twyman",0.265034505654674,0.103155141624396
"227","Paul Pressey",0.264552819972185,0.134711446290852
"228","Clark Kellogg",0.263894350519162,0
"229","Bradley Beal",0.263796032696078,0.101312677605995
"230","Charles Oakley",0.263339438856802,0.287575493870903
"231","Gail Goodrich",0.262174532231742,0.235589200043242
