"","Player","Tm","Yr","W","PTS","TRB","AST","PC1a","maxW","PC1b","PC1n"
"1","Shaquille O'Neal*","LAL",2000,15,30.7,15.4,3.1,241.745961962233,15,16.1163974641488,1
"2","Hakeem Olajuwon*","HOU",1995,15,33,10.3,4.5,240.289887618407,15,16.0193258412271,0.993976841093819
"3","Shaquille O'Neal*","LAL",2001,15,30.4,15.4,3.2,239.860343569818,15,15.9906895713212,0.992200000458706
"4","Hakeem Olajuwon*","HOU",1994,15,28.9,11,4.3,236.004806161266,15,15.7336537440844,0.976251285629072
"5","Michael Jordan*","CHI",1992,15,34.5,6.2,5.8,232.209711800429,15,15.4806474533619,0.960552597923875
"6","Michael Jordan*","CHI",1993,15,35.1,6.7,6,232.039597418793,15,15.4693064945862,0.9598489072386
"7","Kareem Abdul-Jabbar*","LAL",1980,12,31.9,12.1,3.1,182.895744343593,12,15.2413120286327,0.945702168399435
"8","Tim Duncan","SAS",2003,16,24.7,15.4,5.3,242.177337689062,16,15.1360836055664,0.939172891413035
"9","LeBron James","MIA",2012,16,30.3,9.7,5.6,241.010855260395,16,15.0631784537747,0.934649228357823
"10","Shaquille O'Neal*","LAL",2002,15,28.5,12.6,2.8,222.99421332078,15,14.866280888052,0.922432008835862
"11","Michael Jordan*","CHI",1991,15,31.1,6.4,8.4,220.716970005105,15,14.714464667007,0.913012023917847
"12","Kawhi Leonard","TOR",2019,16,30.5,9.1,3.9,232.582494757581,16,14.5364059223488,0.901963726985837
"13","Michael Jordan*","CHI",1997,15,31.1,7.9,4.8,217.466295767508,15,14.4977530511672,0.899565370202471
"14","Dwyane Wade","MIA",2006,16,28.4,5.9,5.7,230.359496192662,16,14.3974685120414,0.893342854323913
"15","Larry Bird*","BOS",1984,15,27.5,11,5.9,215.878657566895,15,14.3919105044596,0.892997987700084
"16","Kobe Bryant","LAL",2001,15,29.4,7.3,6.1,213.875055947978,15,14.2583370631986,0.88470994184131
"17","Moses Malone*","PHI",1983,12,26,15.8,1.5,170.172819929935,12,14.1810683274946,0.879915524486199
"18","LeBron James","CLE",2016,16,26.3,9.5,7.6,225.940016234125,16,14.1212510146328,0.876203943595072
"19","Michael Jordan*","CHI",1998,15,32.4,5.1,3.5,211.683680470576,15,14.112245364705,0.875645155568913
"20","Moses Malone*","HOU",1981,12,26.8,14.5,1.7,168.921245325405,12,14.0767704437838,0.873443986169847
"21","Kobe Bryant","LAL",2009,16,30.2,5.3,5.5,223.452324251598,16,13.9657702657249,0.866556579830694
