"","rk","Player","totalPL"
"1",1,"LeBron James",8.78363362097355
"2",2,"Kareem Abdul-Jabbar*",8.71451991412303
"3",3,"Tim Duncan",7.5913341241721
"4",4,"Michael Jordan*",7.36186953134347
"5",5,"Bill Russell*",7.28134821648566
"6",6,"Shaquille O'Neal*",7.2582207362855
"7",7,"Kobe Bryant",6.88409168123434
"8",8,"Magic Johnson*",6.84826937208403
"9",9,"Jerry West*",6.46182259311436
"10",10,"Scottie Pippen*",6.45967438365413
"11",11,"John Havlicek*",6.304254390202
"12",12,"Larry Bird*",5.93833919597846
"13",13,"Wilt Chamberlain*",5.9332285147821
"14",14,"Sam Jones*",5.88852161357065
"15",15,"Elgin Baylor*",5.58048071330819
"16",16,"Karl Malone*",5.3241371824005
"17",17,"Tony Parker",5.13681960766014
"18",18,"Tom Heinsohn*",5.04660571277732
"19",19,"Kevin Durant",5.01549650934497
"20",20,"Dwyane Wade",4.90907922560438
"21",21,"Robert Parish*",4.7893095458883
"22",22,"Dennis Johnson*",4.74883522570628
"23",23,"Julius Erving*",4.72274912248558
"24",24,"Bob Cousy*",4.71196309302352
"25",25,"Hakeem Olajuwon*",4.58741724659551
"26",26,"Kevin McHale*",4.43202068393365
"27",27,"Robert Horry",4.39479590681857
"28",28,"Manu Ginóbili",4.35694418607219
"29",29,"Bob Pettit*",4.27437487345207
"30",30,"James Worthy*",4.2585692856483
"31",31,"Stephen Curry",4.1671608167876
"32",32,"Derek Fisher",3.98601253950785
"33",33,"Horace Grant",3.98250375868714
"34",34,"Byron Scott",3.90681262472904
"35",35,"Patrick Ewing*",3.88814026103777
"36",36,"Dolph Schayes*",3.65404454202555
"37",37,"Clyde Drexler*",3.6433272073673
"38",38,"Paul Pierce",3.64132005142544
"39",39,"Frank Ramsey*",3.62734325900755
"40",40,"Cliff Hagan*",3.56759352806825
"41",41,"Michael Cooper",3.54435086570655
"42",42,"Dennis Rodman*",3.53892476056665
"43",43,"Dirk Nowitzki",3.53647834270682
"44",44,"Draymond Green",3.48695201815726
"45",45,"Tom Sanders*",3.47022785815597
"46",46,"John Stockton*",3.4471450556447
"47",47,"Isiah Thomas*",3.42096083155326
"48",48,"Charles Barkley*",3.38311568849931
"49",49,"David Robinson*",3.36544630846776
"50",50,"Rasheed Wallace",3.36139925697363
"51",51,"Ray Allen*",3.33715748179968
"52",52,"Danny Ainge",3.33555581594541
"53",53,"Klay Thompson",3.20252224401687
"54",54,"Maurice Cheeks*",3.19496447247711
"55",55,"Jamaal Wilkes*",3.19492122703664
"56",56,"Slater Martin*",3.17767815067076
"57",57,"Bill Sharman*",3.15998924909126
"58",58,"Chauncey Billups",3.15933870408148
"59",59,"Kevin Garnett",3.12592912401239
"60",60,"Bob Dandridge",3.06837252266659
"61",61,"Reggie Miller*",3.06348306762454
"62",62,"Richard Hamilton",3.06228203215737
"63",63,"Jason Kidd*",3.05747177308283
"64",64,"Kawhi Leonard",3.05350834699576
"65",65,"George Mikan*",3.00486007744535
"66",66,"Moses Malone*",2.99386749010886
"67",67,"Don Nelson*",2.99185461281234
"68",68,"Paul Silas",2.96818980281886
"69",69,"Dave Cowens*",2.96064218219902
"70",70,"Oscar Robertson*",2.88006684522998
"71",71,"Walt Frazier*",2.86651628373723
"72",72,"Hal Greer*",2.86072440665676
"73",73,"Pau Gasol",2.82790892875883
"74",74,"Elvin Hayes*",2.78937775619129
"75",75,"Vern Mikkelsen*",2.78366268724726
"76",76,"James Harden",2.76889293480825
"77",77,"Russell Westbrook",2.75066074263495
"78",78,"Bobby Jones*",2.74736896252527
"79",79,"Jeff Hornacek",2.74679885348494
"80",80,"Gary Payton*",2.743751364194
"81",81,"A.C. Green",2.73690271209764
"82",82,"Bob McAdoo*",2.72809171570148
"83",83,"Sam Perkins",2.6608265998149
"84",84,"Dick Barnett",2.64600123345853
"85",85,"Andre Iguodala",2.62144465015612
"86",86,"K.C. Jones*",2.60297543551195
"87",87,"Bill Laimbeer",2.59634243631661
"88",88,"Chet Walker*",2.52944087282933
"89",89,"Charles Oakley",2.52595777653254
"90",90,"Tayshaun Prince",2.49188738434881
"91",91,"Dave DeBusschere*",2.46102950071161
"92",92,"Rudy LaRusso",2.46061936773209
"93",93,"Rick Barry*",2.45944963890174
"94",94,"Joe Dumars*",2.451368066719
"95",95,"Ben Wallace",2.44932207072329
"96",96,"Rajon Rondo",2.41970405266501
"97",97,"Kevin Johnson",2.41821920979145
"98",98,"Gus Williams",2.38209474751775
"99",99,"Jo Jo White*",2.38157043510181
"100",100,"Kurt Rambis",2.33391012395083
"101",101,"Sam Cassell",2.32607170862104
"102",102,"Wes Unseld*",2.32286419004244
"103",103,"Darryl Dawkins",2.31786634702555
"104",104,"Bailey Howell*",2.26108387977472
"105",105,"Jim Pollard*",2.24780136225902
"106",106,"Bill Cartwright",2.24692086551068
"107",107,"Caldwell Jones",2.23818608160241
"108",108,"Serge Ibaka",2.23735510814943
"109",109,"Clyde Lovellette*",2.23460391274851
"110",110,"Steve Nash*",2.2329826644516
"111",111,"Chris Bosh",2.22967437944097
"112",112,"Ron Harper",2.22961913019715
"113",113,"Chris Paul",2.22172699722913
"114",114,"Jack Sikma*",2.21557992210008
"115",115,"Udonis Haslem",2.19945528182607
"116",116,"Richard Jefferson",2.19918317020743
"117",117,"Bill Bridges",2.18411518216625
"118",118,"Lamar Odom",2.18087416026596
"119",119,"Vlade Divac*",2.17622723515183
"120",120,"Jerome Kersey",2.17326808678774
"121",121,"Dwight Howard",2.16501148103435
"122",122,"Dale Davis",2.14928824898471
"123",123,"Mark Aguirre",2.13922987604441
"124",124,"Red Kerr",2.11967532339525
"125",125,"Kenyon Martin",2.11930483490269
"126",126,"Derrick McKey",2.10714870903782
"127",127,"Cedric Maxwell",2.08733701801103
"128",128,"Kendrick Perkins",2.07894650287212
"129",129,"Bill Bradley*",2.07791407115704
"130",130,"Rik Smits",2.07730835987878
"131",131,"John Salley",2.07417636997002
"132",132,"Gail Goodrich*",2.06932921823808
"133",133,"David West",2.05558546353435
"134",134,"Al Horford",2.05343556312699
"135",135,"Shawn Marion",2.049628765869
"136",136,"Willis Reed*",2.04296822750177
"137",137,"Andrew Toney",2.03520013253406
"138",138,"Kyrie Irving",2.03494002750284
"139",139,"J.R. Smith",2.03354883514778
"140",140,"Dan Majerle",2.02045428153923
"141",141,"Mark Jackson",2.02008701983828
"142",142,"Terry Porter",2.01202038218471
"143",143,"Vinnie Johnson",1.99818676224624
"144",144,"Shawn Kemp",1.98900612092
"145",145,"Tom Chambers",1.98035405539512
"146",146,"Kevin Love",1.97836348756147
"147",147,"Larry Siegfried",1.92795774388261
"148",148,"Rick Fox",1.91345715612144
"149",149,"Paul Arizin*",1.90999837347019
"150",150,"Danny Green",1.89300521363386
"151",151,"Jason Terry",1.8915176295163
"152",152,"Tom Hawkins",1.88130096062484
"153",153,"Norm Nixon",1.87908327626369
"154",154,"Chris Webber",1.86421228211241
"155",155,"Toni Kukoc",1.86355137422484
"156",156,"Lenny Wilkens*",1.85640534298152
"157",157,"Mychal Thompson",1.85435278654163
"158",158,"Michael Finley",1.85090554547203
"159",159,"Paul Westphal*",1.84917377116768
"160",160,"Jack Coleman",1.84865469464728
"161",161,"Sidney Moncrief*",1.84004393718792
"162",162,"George Hill",1.83200715305643
"163",163,"Clifford Robinson",1.826075465013
"164",164,"Terry Cummings",1.81972203950415
"165",165,"James Edwards",1.80585740878753
"166",166,"Lionel Hollins",1.79881575563798
"167",167,"Joe Johnson",1.79686190267357
"168",168,"Larry Foust",1.79300190250948
"169",169,"Bruce Bowen",1.7884428126133
"170",170,"John Starks",1.78303844633047
"171",171,"Buck Williams",1.77835728027828
"172",172,"Rashard Lewis",1.74236218831365
"173",173,"Boris Diaw",1.73423775647782
"174",174,"Earl Monroe*",1.7335987068956
"175",175,"Trevor Ariza",1.71599486988182
"176",176,"Mel Counts",1.71384898896754
"177",177,"Mario Elie",1.71134599360867
"178",178,"Peja Stojakovic",1.70694233665297
"179",179,"Alonzo Mourning*",1.70182089971773
"180",180,"Shaun Livingston",1.70131861770762
"181",181,"Marc Gasol",1.70112287732237
"182",182,"Paul Seymour",1.70031814606747
"183",183,"Allen Iverson*",1.69778547287077
"184",184,"Zelmo Beaty*",1.69456889331108
"185",185,"Detlef Schrempf",1.68314849528826
"186",186,"Adrian Dantley*",1.67887048541768
"187",187,"Mario Chalmers",1.66287156825056
"188",188,"Maurice Lucas",1.66067921473528
"189",189,"Jim Loscutoff",1.65004271962574
"190",190,"Metta World Peace",1.64554903652966
"191",191,"Eddie Johnson",1.64496977471693
"192",192,"Bryon Russell",1.6432452719828
"193",193,"Luc Longley",1.62787676132843
"194",194,"Amar'e Stoudemire",1.6266420538359
"195",195,"Jim McMillian",1.62421042473249
"196",196,"Dikembe Mutombo*",1.61531765489067
"197",197,"Larry Costello",1.60914910635484
"198",198,"Alvan Adams",1.60654615087936
"199",199,"Mike Bibby",1.60012413695589
"200",200,"Arnie Risen*",1.59463765937469
"201",201,"Kyle Lowry",1.59200083257355
"202",202,"Robert Reid",1.58173679490136
"203",203,"George Gervin*",1.57215899124678
"204",204,"Sean Elliott",1.56742184952852
"205",205,"B.J. Armstrong",1.55983005615957
"206",206,"Nate Thurmond*",1.55869421137759
"207",207,"Keith Erickson",1.55805648091742
"208",208,"Tristan Thompson",1.55495202556113
"209",209,"George Yardley*",1.54900336462893
"210",210,"Antonio Davis",1.54658647414648
"211",211,"Jack McMahon",1.52827919704387
"212",212,"John Paxson",1.52620671389147
"213",213,"Carlos Boozer",1.52178535857781
"214",214,"Avery Johnson",1.50912056720791
"215",215,"Bob Lanier*",1.50799500157857
"216",216,"Elden Campbell",1.50673459190616
"217",217,"Derek Harper",1.49864946877568
"218",218,"Jeff Mullins",1.48854841476263
"219",219,"Zydrunas Ilgauskas",1.48799511898406
"220",220,"Steve Kerr",1.48580313840516
"221",221,"Larry Nance",1.48051629650892
"222",222,"Hedo Türkoglu",1.47942294910582
"223",223,"Brian Shaw",1.47264240825465
"224",224,"Paul George",1.46939081606588
"225",225,"Ed Macauley*",1.46713903661674
"226",226,"Paul Millsap",1.4577018553041
"227",227,"Rick Mahorn",1.45331870485774
"228",228,"Vince Carter",1.45119068106785
"229",229,"Walter Davis",1.45104129458176
"230",230,"Fred Brown",1.44884076153126
"231",231,"Deron Williams",1.44163272956437
"232",232,"P.J. Brown",1.43175961897172
"233",233,"Jermaine O'Neal",1.42891716483532
"234",234,"John Johnson",1.42867200200457
"235",235,"James Jones",1.42732574434748
"236",236,"Alex English*",1.41979211037063
"237",237,"Charles Johnson",1.41273482715893
"238",238,"Steve Mix",1.40118615558114
"239",239,"Wali Jones",1.39255085329435
"240",240,"Will Perdue",1.39129460264132
"241",241,"Frank Selvy",1.39021607935322
"242",242,"Bill Walton*",1.38803645527988
"243",243,"Kyle Korver",1.38656803644646
"244",244,"Jerry Lucas*",1.38633447384913
"245",245,"Harry Gallatin*",1.38504219036738
"246",246,"Scott Wedman",1.38481677272814
"247",247,"Happy Hairston",1.38364356471796
"248",248,"Latrell Sprewell",1.38028609360459
"249",249,"Anthony Mason",1.36046292523475
"250",250,"Leandro Barbosa",1.35759514819801
"251",251,"Marques Johnson",1.35268707346715
"252",252,"Ricky Pierce",1.33694229430298
"253",253,"Mitch Kupchak",1.33664443661498
"254",254,"Doc Rivers",1.33188740511751
"255",255,"Kevin Willis",1.32721220839772
"256",256,"J.J. Redick",1.32296456682281
"257",257,"Chuck Share",1.31962396434883
"258",258,"Gerald Henderson",1.3181557806282
"259",259,"Antoine Walker",1.31341672430745
"260",260,"Scott Williams",1.30598789531485
"261",261,"George King",1.30486854285123
"262",262,"Antonio McDyess",1.30265561646258
"263",263,"Dick McGuire*",1.29961169012633
"264",264,"Allan Houston",1.28304247117214
"265",265,"Tom Henderson",1.27562990056464
"266",266,"Zach Randolph",1.27081784466303
"267",267,"Nenê Hilário",1.26705198450261
"268",268,"Hersey Hawkins",1.26549528719243
"269",269,"Larry Johnson",1.26226308312294
"270",270,"Anfernee Hardaway",1.26176181192672
"271",271,"Kevin Duckworth",1.26088784785118
"272",272,"LaMarcus Aldridge",1.25748848451647
"273",273,"Tony Allen",1.25570852115787
"274",274,"Richie Guerin*",1.25060766961478
"275",275,"Eric Snow",1.24980987146794
"276",276,"Chris Mullin*",1.24849059268018
"277",277,"Henry Bibby",1.24783148679378
"278",278,"Stephen Jackson",1.24594989985008
"279",279,"Shane Battier",1.24199764169339
"280",280,"Steve Smith",1.23863122845129
"281",281,"Craig Hodges",1.23466837624127
"282",282,"Jon McGlocklin",1.23165058849154
"283",283,"Lou Hudson",1.23069839344946
"284",284,"Andrew Bogut",1.22085221457564
"285",285,"Lindsey Hunter",1.2190981425074
"286",286,"Bob Harrison",1.21541781606958
"287",287,"Don Chaney",1.21011499662415
"288",288,"Connie Simmons",1.20102306809445
"289",289,"Carmelo Anthony",1.19541856185479
"290",290,"Tom Gola*",1.19271408132595
"291",291,"Andrew Bynum",1.18699735166824
"292",292,"Paul Pressey",1.1832559887703
"293",293,"Eddie Jones",1.1807901764971
"294",294,"Mark West",1.17637186695926
"295",295,"Don Ohl",1.17229981544327
"296",296,"Alton Lister",1.17160920594746
"297",297,"Jim Krebs",1.17074967521609
"298",298,"Tom Meschery",1.17051382269509
"299",299,"Antoine Carr",1.16716883030569
"300",300,"Billy Cunningham*",1.16704407066467
"301",301,"Jalen Rose",1.16444276840142
"302",302,"Nat Clifton*",1.1621989581589
"303",303,"Earl Lloyd*",1.16207254027667
"304",304,"Luol Deng",1.16063648960531
"305",305,"Mike McGee",1.15978819519479
"306",306,"Kenny Smith",1.15813245391584
"307",307,"Gar Heard",1.15783257774573
"308",308,"Tiny Archibald*",1.15666139977604
"309",309,"Wayne Embry*",1.15347186409543
"310",310,"Phil Chenier",1.14948870035431
"311",311,"Archie Clark",1.14901700663018
"312",312,"Luke Jackson",1.14859033008953
"313",313,"Mike Dunleavy",1.14761457077416
"314",314,"Nate McMillan",1.14597538608284
"315",315,"Pep Saul",1.14572574782858
"316",316,"Jim King",1.1434238369818
"317",317,"Dominique Wilkins*",1.14147617691477
"318",318,"Clint Richardson",1.14099957205646
"319",319,"Harrison Barnes",1.13634795041534
"320",320,"Nick Van Exel",1.135592073253
"321",321,"Josh Smith",1.13110521199687
"322",322,"Truck Robinson",1.12769006055685
"323",323,"Max Zaslofsky",1.1221584610749
"324",324,"Kevin Grevey",1.11795504131341
"325",325,"Ralph Sampson*",1.11506564822017
"326",326,"Charles Smith",1.10437851000928
"327",327,"Lonnie Shelton",1.10011183387566
"328",328,"Nazr Mohammed",1.09961450627772
"329",329,"Cazzie Russell",1.09957665986814
"330",330,"Leroy Ellis",1.09837366298001
"331",331,"Josh Howard",1.09699379431007
"332",332,"Clifford Ray",1.09038101575657
"333",333,"Devean George",1.08895938046384
"334",334,"Anderson Varejão",1.08431563245172
"335",335,"Marcin Gortat",1.08416892457655
"336",336,"Rolando Blackman",1.08032575697641
"337",337,"Glen Davis",1.07504028582077
"338",338,"Kurt Thomas",1.07386455035034
"339",339,"Greg Ostertag",1.07265480699894
"340",340,"Otis Thorpe",1.07135098007684
"341",341,"Iman Shumpert",1.07135055394604
"342",342,"Blake Griffin",1.06671906596815
"343",343,"Calvin Murphy*",1.06266921379418
"344",344,"Mike Riordan",1.06191649761877
"345",345,"Vernon Maxwell",1.05690019340207
"346",346,"Al Bianchi",1.05324618245236
"347",347,"Ernie Vandeweghe",1.05271172326329
"348",348,"Walt Hazzard",1.05043083580507
"349",349,"Tyson Chandler",1.04925811603003
"350",350,"Malik Rose",1.04387196947071
"351",351,"George Johnson",1.03707942054586
"352",352,"Mehmet Okur",1.03193372067257
"353",353,"Mike Conley",1.03147292888064
"354",354,"Phil Jackson*",1.0303107875252
"355",355,"Jason Collins",1.0274677025331
"356",356,"Tiago Splitter",1.0267849514183
"357",357,"Matt Barnes",1.01953186026978
"358",358,"Wayne Cooper",1.01857168558675
"359",359,"Andy Phillip*",1.01556406300405
"360",360,"Tim Hardaway",1.01409508289711
"361",361,"Roy Hibbert",1.01043876733542
"362",362,"Brent Barry",1.00727362803503
"363",363,"Bob Love",1.00436413689496
"364",364,"DeMar DeRozan",1.00384554023827
"365",365,"Guy Rodgers*",1.00356412375702
"366",366,"Derrick Rose",1.00106361160091
"367",367,"Mark Eaton",0.998777067182749
"368",368,"Jamal Mashburn",0.997253031276776
"369",369,"Dan Issel*",0.996218200232322
"370",370,"Billy Paultz",0.995546878873912
"371",371,"Bob Boozer",0.98852110492435
"372",372,"Anthony Johnson",0.987383334689269
"373",373,"Curtis Perry",0.985955036022819
"374",374,"Kerry Kittles",0.984655102376083
"375",375,"Hot Rod Hundley",0.97898544047865
"376",376,"Walt Bellamy*",0.977370021598837
"377",377,"Chris Childs",0.977301106940918
"378",378,"Doug Christie",0.973982081772253
"379",379,"Dave Gambee",0.969966484089111
"380",380,"Tyrone Corbin",0.968242048362169
"381",381,"Greg Anthony",0.967206692423686
"382",382,"Billy Kenville",0.966713356142439
"383",383,"Nick Collison",0.965463712802824
"384",384,"Joe Caldwell",0.960747983194487
"385",385,"Dale Ellis",0.959733233919211
"386",386,"Rodney Rogers",0.957259762506005
"387",387,"Baron Davis",0.957046320784234
"388",388,"Aaron McKie",0.955345383074283
"389",389,"Whitey Skoog",0.951908244928078
"390",390,"Jerry Stackhouse",0.951741654656649
"391",391,"Marcus Camby",0.950721896052302
"392",392,"John Wall",0.946901058171289
"393",393,"Thurl Bailey",0.941185626575589
"394",394,"Johnny Egan",0.934039955791049
"395",395,"Thabo Sefolosha",0.933119536462149
"396",396,"Si Green",0.933019114877387
"397",397,"Patty Mills",0.929698154508953
"398",398,"Bobby Wanzer*",0.928686804235299
"399",399,"Luke Walton",0.927709454901186
"400",400,"Chris Ford",0.925537803370879
"401",401,"Drew Gooden",0.924364201562289
"402",402,"Kirk Hinrich",0.921088021463452
"403",403,"Al Attles*",0.920531020041401
"404",404,"Joakim Noah",0.918704452144641
"405",405,"M.L. Carr",0.916931600626445
"406",406,"Charlie Ward",0.915384776105016
"407",407,"Clint Capela",0.911827981617326
"408",408,"Chris Andersen",0.908762928784211
"409",409,"Keith Van Horn",0.907027993683946
"410",410,"Jack Twyman*",0.906076970148329
"411",411,"Glen Rice",0.903738618257608
"412",412,"Tree Rollins",0.900325659378373
"413",413,"Craig Ehlo",0.897415997229832
"414",414,"Howard Eisley",0.89371465557716
"415",415,"Red Rocha",0.893611201717808
"416",416,"Bradley Beal",0.889893441250868
"417",417,"Bob Davies*",0.888060587554318
"418",418,"Damian Lillard",0.887205930648054
"419",419,"Xavier McDaniel",0.881617375950532
"420",420,"Phil Smith",0.88146885869914
"421",421,"Jeff Teague",0.880495638738513
"422",422,"Kiki Vandeweghe",0.878754893542915
"423",423,"Rodney McCray",0.876491276280159
"424",424,"Zaza Pachulia",0.87631404198363
"425",425,"Calvin Natt",0.874998499752736
"426",426,"Shandon Anderson",0.874125414836705
"427",427,"Junior Bridgeman",0.873163951319877
"428",428,"Jimmy Butler",0.865010036366496
"429",429,"Mo Williams",0.863209219954724
"430",430,"Giannis Antetokounmpo",0.861836793185984
"431",431,"Larry Hughes",0.860464141166159
"432",432,"Marvin Webster",0.85533906390278
"433",433,"Ervin Johnson",0.854824468588132
"434",434,"Jamal Crawford",0.852744798952141
"435",435,"George Lynch",0.851592404898965
"436",436,"DeAndre Jordan",0.846368604970995
"437",437,"Raja Bell",0.845453818814348
"438",438,"Willie Naulls",0.845448841656675
"439",439,"Mike Miller",0.841348349227864
"440",440,"Lucius Allen",0.840093691022589
"441",441,"Stacey King",0.835474563893101
"442",442,"Fat Lever",0.834859460525525
"443",443,"Gus Johnson*",0.829917957993686
"444",444,"Brad Daugherty",0.828930692805361
"445",445,"Neil Johnston*",0.825087974653079
"446",446,"Ray Felix",0.82477463435631
"447",447,"Arvydas Sabonis*",0.82476972354567
"448",448,"Charlie Scott*",0.82297133652126
"449",449,"Jerry Sloan*",0.81627866017053
"450",450,"Jameer Nelson",0.811916681227071
"451",451,"Walter Dukes",0.80848930047942
"452",452,"Gene Conley",0.806641014134091
"453",453,"Matt Bonner",0.806215126173462
"454",454,"Tyrone Hill",0.804630818523012
"455",455,"Delonte West",0.804401948898296
