"","Player","psc"
"1","Michael Jordan*",1
"2","David Robinson*",0.913864903895826
"3","Shaquille O'Neal*",0.843235625880818
"4","Wilt Chamberlain*",0.842679060467625
"5","Kareem Abdul-Jabbar*",0.826818409750121
"6","Hakeem Olajuwon*",0.813848266432251
"7","Karl Malone*",0.794797533577731
"8","LeBron James",0.793368622781562
"9","Kevin Garnett*",0.770387494935798
"10","Moses Malone*",0.764475234206912
"11","Charles Barkley*",0.763063995718824
"12","James Harden",0.739142785065842
"13","Tim Duncan*",0.733140039246852
"14","Kevin Durant",0.732887827070843
"15","Russell Westbrook",0.72155722790172
"16","Larry Bird*",0.715004236992648
"17","Patrick Ewing*",0.708797694056712
"18","Bob McAdoo*",0.704933130515875
"19","Kobe Bryant*",0.689069447841238
"20","Dwyane Wade",0.669817943136321
"21","Dwight Howard",0.663228397711638
"22","Magic Johnson*",0.641257722282643
"23","Julius Erving*",0.625850661462911
"24","Adrian Dantley*",0.611457560904868
"25","Dirk Nowitzki",0.611420536564862
"26","Clyde Drexler*",0.611336139324128
"27","Giannis Antetokounmpo",0.608098864316699
"28","Chris Paul",0.592074276457356
"29","Tracy McGrady*",0.591716170175435
"30","Anthony Davis",0.577485463638742
"31","Oscar Robertson*",0.566308117495868
"32","Dominique Wilkins*",0.56502376171725
"33","Amar'e Stoudemire",0.562401585875784
"34","Elton Brand",0.560622247344586
"35","Alex English*",0.547608615131743
"36","Grant Hill*",0.546605725777299
"37","Stephen Curry",0.546567179624829
"38","George Gervin*",0.536187973598037
"39","John Stockton*",0.53342419531506
"40","Artis Gilmore*",0.531814235687978
"41","Paul Pierce",0.5287870562804
"42","Scottie Pippen*",0.523258664230238
"43","Allen Iverson*",0.517431941395546
"44","Bob Lanier*",0.512064261389117
"45","Alonzo Mourning*",0.502093343621194
"46","Karl-Anthony Towns",0.499202217703273
"47","Shawn Marion",0.498320443259051
"48","Kevin McHale*",0.497346140404282
"49","Shawn Kemp",0.496800833048986
"50","Rick Barry*",0.490035465411477
"51","Chris Mullin*",0.48775464507048
"52","Chris Webber",0.48743518314164
"53","Blake Griffin",0.484895677125386
"54","Gary Payton*",0.484840485285323
"55","Isiah Thomas*",0.482247705770611
"56","Vince Carter",0.480629333195514
"57","Pau Gasol",0.474556008905365
"58","Elvin Hayes*",0.471858358818572
"59","Jack Sikma*",0.468079709857827
"60","Gilbert Arenas",0.465104460463078
"61","Robert Parish*",0.459395574340043
"62","Walt Bellamy*",0.455913410786133
"63","Jerry West*",0.455585649742225
"64","Elgin Baylor*",0.45534087515322
"65","Mark Aguirre",0.45297059921014
"66","DeMarcus Cousins",0.452373328103949
"67","Terry Cummings",0.450421168323061
"68","Kevin Johnson",0.449687930413369
"69","Kevin Love",0.448046789941232
"70","Tom Chambers",0.440896902145213
"71","Paul George",0.438313167129957
"72","Carmelo Anthony",0.436869536514098
"73","Dan Issel*",0.436636031344804
"74","Andre Drummond",0.436254211331886
"75","Sidney Moncrief*",0.434157583911556
"76","Bob Pettit*",0.433048833931035
"77","Tiny Archibald*",0.432771557155289
"78","Buck Williams",0.419175061984586
"79","Marques Johnson",0.416689533862341
"80","Fat Lever",0.413936529248815
"81","Bernard King*",0.410382970215913
"82","Carlos Boozer",0.409973195772933
"83","Rudy Gobert",0.4082259707614
"84","Brad Daugherty",0.407100877991169
"85","DeAndre Jordan",0.403168055487288
"86","Nikola Jokic",0.401566386315143
"87","Tim Hardaway",0.399740787905162
"88","Kiki Vandeweghe",0.3993050309179
"89","Shareef Abdur-Rahim",0.39621388374494
"90","Damian Lillard",0.395985644087527
"91","Larry Nance",0.395366690786256
"92","Steve Francis",0.395075573981324
"93","LaMarcus Aldridge",0.393924071136651
"94","Anfernee Hardaway",0.393190242223388
"95","Detlef Schrempf",0.39253694873415
"96","Chris Bosh",0.391232061789075
"97","David Thompson*",0.385989138530584
"98","Kawhi Leonard",0.383268422712228
"99","Gus Williams",0.381534441480235
"100","Jerry Stackhouse",0.380483976443502
"101","Yao Ming*",0.37996218192614
"102","George McGinnis*",0.3785737885547
"103","Derrick Coleman",0.377696844034528
"104","Dikembe Mutombo*",0.37755875777248
"105","Jeff Ruland",0.375570144501991
"106","Larry Johnson",0.373906897908777
"107","Otis Thorpe",0.373126788580035
"108","Jermaine O'Neal",0.3727457332355
"109","Vin Baker",0.370613616527987
"110","John Havlicek*",0.370327537469277
"111","Joe Barry Carroll",0.370070788802769
"112","Alvin Robertson",0.369579679803078
"113","Micheal Ray Richardson",0.367173975326337
"114","Jason Kidd*",0.36664445347651
"115","David Lee",0.366198836329834
"116","Zach Randolph",0.365188554896756
"117","Reggie Miller*",0.362780826914162
"118","George Mikan*",0.36154006738501
"119","Bill Laimbeer",0.360597364549559
"120","Antoine Walker",0.359083261743389
"121","Dave Cowens*",0.358284137316174
"122","Cedric Maxwell",0.357723138450819
"123","John Wall",0.357187808992558
"124","Kevin Willis",0.353033851673452
"125","Jimmy Butler",0.352800948478923
