"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr"
"1","Paul Arizin*","SF","27","PHW","72","0","2724","617","1378","0.448","0","0","0","617","1378","0.448","0.448","507","626","0.81","0","0","539","189","0","0","0","282","1741",1956
"2","Jesse Arnelle","PF","22","FTW","31","0","409","52","164","0.317","0","0","0","52","164","0.317","0.317","43","69","0.623","0","0","170","18","0","0","0","60","147",1956
"3","Dick Atha","SG","24","NYK","25","0","288","36","88","0.409","0","0","0","36","88","0.409","0.409","21","27","0.778","0","0","42","32","0","0","0","39","93",1956
"4","Jim Baechtold","SF","28","NYK","70","0","1738","268","695","0.386","0","0","0","268","695","0.386","0.386","233","291","0.801","0","0","220","163","0","0","0","156","769",1956
"5","Ernie Barrett","SG","26","BOS","72","0","1451","207","533","0.388","0","0","0","207","533","0.388","0.388","93","118","0.788","0","0","243","174","0","0","0","184","507",1956
"6","Ernie Beck","SG","24","PHW","67","0","1007","136","351","0.387","0","0","0","136","351","0.387","0.387","76","106","0.717","0","0","196","79","0","0","0","86","348",1956
"7","Don Bielke","C","23","FTW","7","0","38","5","9","0.556","0","0","0","5","9","0.556","0.556","4","7","0.571","0","0","9","1","0","0","0","9","14",1956
"8","Carl Braun*","SG","28","NYK","72","0","2316","396","1064","0.372","0","0","0","396","1064","0.372","0.372","320","382","0.838","0","0","259","298","0","0","0","215","1112",1956
"9","Frankie Brian","PG","32","FTW","37","0","680","78","263","0.297","0","0","0","78","263","0.297","0.297","72","88","0.818","0","0","88","74","0","0","0","62","228",1956
"10","Nat Clifton*","PF","33","NYK","64","0","1537","213","541","0.394","0","0","0","213","541","0.394","0.394","135","191","0.707","0","0","386","151","0","0","0","189","561",1956
"11","Jack Coleman","PF","31","TOT","75","0","2738","390","946","0.412","0","0","0","390","946","0.412","0.412","177","249","0.711","0","0","688","294","0","0","0","242","957",1956
"12","Ed Conlin","SF","22","SYR","66","0","1423","211","574","0.368","0","0","0","211","574","0.368","0.368","121","178","0.68","0","0","326","145","0","0","0","121","543",1956
"13","Chuck Cooper*","SF","29","TOT","67","0","1144","101","308","0.328","0","0","0","101","308","0.328","0.328","100","133","0.752","0","0","239","89","0","0","0","140","302",1956
"14","Bob Cousy*","PG","27","BOS","72","0","2767","440","1223","0.36","0","0","0","440","1223","0.36","0.36","476","564","0.844","0","0","492","642","0","0","0","206","1356",1956
"15","Red Davis","C","23","ROC","3","0","16","0","6","0","0","0","0","0","6","0","0","2","2","1","0","0","4","1","0","0","0","2","2",1956
"16","Walt Davis","PF","25","PHW","70","0","1097","123","333","0.369","0","0","0","123","333","0.369","0.369","77","112","0.688","0","0","276","56","0","0","0","230","323",1956
"17","George Dempsey","PG","26","PHW","72","0","1444","126","265","0.475","0","0","0","126","265","0.475","0.475","88","139","0.633","0","0","264","205","0","0","0","146","340",1956
"18","Corky Devlin","SG","24","FTW","69","0","1535","200","541","0.37","0","0","0","200","541","0.37","0.37","146","192","0.76","0","0","171","138","0","0","0","119","546",1956
"19","Walter Dukes","C","25","NYK","60","0","1290","149","370","0.403","0","0","0","149","370","0.403","0.403","167","236","0.708","0","0","443","39","0","0","0","211","465",1956
"20","Dick Farley","SG","23","SYR","72","0","1429","168","451","0.373","0","0","0","168","451","0.373","0.373","143","207","0.691","0","0","165","151","0","0","0","154","479",1956
"21","Ron Feiereisel","G","24","MNL","10","0","59","8","28","0.286","0","0","0","8","28","0.286","0.286","14","16","0.875","0","0","6","6","0","0","0","9","30",1956
"22","Ray Felix","C","25","NYK","72","0","1702","277","668","0.415","0","0","0","277","668","0.415","0.415","331","469","0.706","0","0","623","47","0","0","0","293","885",1956
"23","Al Ferrari","SF","22","STL","68","0","1611","191","534","0.358","0","0","0","191","534","0.358","0.358","164","236","0.695","0","0","186","163","0","0","0","192","546",1956
"24","Ed Fleming","SG","22","ROC","71","0","2028","306","824","0.371","0","0","0","306","824","0.371","0.371","277","372","0.745","0","0","489","197","0","0","0","178","889",1956
"25","Larry Foust","C","27","FTW","72","0","2024","367","821","0.447","0","0","0","367","821","0.447","0.447","432","555","0.778","0","0","648","127","0","0","0","263","1166",1956
"26","Harry Gallatin*","SF","28","NYK","72","0","2378","322","834","0.386","0","0","0","322","834","0.386","0.386","358","455","0.787","0","0","740","168","0","0","0","220","1002",1956
"27","Dick Garmaker","SG","23","MNL","68","0","870","138","373","0.37","0","0","0","138","373","0.37","0.37","112","139","0.806","0","0","132","104","0","0","0","127","388",1956
"28","Jack George","PG","27","PHW","72","0","2840","352","940","0.374","0","0","0","352","940","0.374","0.374","296","391","0.757","0","0","313","457","0","0","0","202","1000",1956
"29","Tom Gola*","SG","23","PHW","68","0","2346","244","592","0.412","0","0","0","244","592","0.412","0.412","244","333","0.733","0","0","616","404","0","0","0","272","732",1956
"30","Joe Graboski","PF","26","PHW","72","0","2375","397","1075","0.369","0","0","0","397","1075","0.369","0.369","240","340","0.706","0","0","642","190","0","0","0","272","1034",1956
"31","Alex Hannum*","PF","32","STL","71","0","1480","146","453","0.322","0","0","0","146","453","0.322","0.322","93","154","0.604","0","0","344","157","0","0","0","271","385",1956
"32","Chris Harris","SG","22","TOT","41","0","420","37","149","0.248","0","0","0","37","149","0.248","0.248","27","45","0.6","0","0","44","44","0","0","0","43","101",1956
"33","Bob Harrison","PG","28","STL","72","0","2219","260","725","0.359","0","0","0","260","725","0.359","0.359","97","146","0.664","0","0","195","277","0","0","0","246","617",1956
"34","Dick Hemric","PF","22","BOS","71","0","1329","161","400","0.403","0","0","0","161","400","0.403","0.403","177","273","0.648","0","0","399","60","0","0","0","142","499",1956
"35","Larry Hennessy","SG","26","PHW","53","0","444","85","247","0.344","0","0","0","85","247","0.344","0.344","26","32","0.813","0","0","49","46","0","0","0","37","196",1956
"36","Lew Hitch","PF","26","MNL","69","0","1129","94","235","0.4","0","0","0","94","235","0.4","0.4","100","132","0.758","0","0","283","77","0","0","0","85","288",1956
"37","Jim Holstein","F-G","25","TOT","27","0","352","24","89","0.27","0","0","0","24","89","0.27","0.27","24","37","0.649","0","0","76","38","0","0","0","51","72",1956
"38","Johnny Horan","F","23","TOT","19","0","93","12","42","0.286","0","0","0","12","42","0.286","0.286","10","11","0.909","0","0","10","2","0","0","0","21","34",1956
"39","Bob Houbregs*","C","23","FTW","70","0","1535","247","575","0.43","0","0","0","247","575","0.43","0.43","283","383","0.739","0","0","414","159","0","0","0","147","777",1956
"40","Mel Hutchins","PF","27","FTW","66","0","2240","325","764","0.425","0","0","0","325","764","0.425","0.425","142","221","0.643","0","0","496","180","0","0","0","166","792",1956
